participant_id,event_number,peripheral_id,score
sub-18,1,P1,0
sub-18,1,P2,0
sub-18,1,P3,0
sub-18,1,P4,0
sub-18,1,P5,0
sub-18,1,P6,0
sub-18,1,P7,2
sub-18,1,P8,0
sub-18,1,P9,0
sub-18,2,P1,0
sub-18,2,P2,0
sub-18,2,P3,0
sub-18,2,P4,0
sub-18,2,P5,0
sub-18,2,P6,0
sub-18,2,P7,0
sub-18,3,P1,0
sub-18,3,P2,0
sub-18,3,P3,1
sub-18,3,P4,0
sub-18,3,P5,0
sub-18,4,P1,0
sub-18,4,P2,0
sub-18,4,P3,0
sub-18,4,P4,0
sub-18,4,P5,0
sub-18,4,P6,0
sub-18,4,P7,0
sub-18,4,P8,0
sub-18,5,P1,0
sub-18,5,P2,0
sub-18,5,P3,0
sub-18,5,P4,0
sub-18,5,P5,0
sub-18,5,P6,0
sub-18,5,P7,0
sub-18,6,P1,0
sub-18,6,P2,1
sub-18,6,P3,0
sub-18,6,P4,0
sub-18,6,P5,0
sub-18,6,P6,0
sub-18,6,P7,0
sub-18,7,P1,0
sub-18,7,P2,2
sub-18,7,P3,2
sub-18,7,P4,0
sub-18,7,P5,0
sub-18,7,P6,1
sub-18,14,P1,0
sub-18,14,P2,1
sub-18,14,P3,0
sub-18,14,P4,0
sub-18,15,P1,0
sub-18,15,P2,0
sub-18,15,P3,2
sub-18,15,P4,0
sub-18,15,P5,0
sub-18,15,P6,2
sub-18,15,P7,0
sub-18,15,P8,0
sub-18,16,P1,0
sub-18,16,P2,0
sub-18,16,P3,0
sub-18,16,P4,0
sub-18,16,P5,0
sub-18,17,P1,0
sub-18,17,P2,0
sub-18,17,P3,0
sub-18,17,P4,0
sub-18,17,P5,0
sub-18,17,P6,0
sub-18,17,P7,2
sub-18,18,P1,0
sub-18,18,P2,0
sub-18,18,P3,0
sub-18,18,P4,0
sub-18,18,P5,0
sub-18,19,P1,0
sub-18,19,P2,1
sub-18,19,P3,0
sub-18,19,P4,2
sub-18,19,P5,2
sub-18,19,P6,0
sub-18,20,P1,0
sub-18,20,P2,0
sub-18,20,P3,0
sub-18,20,P4,0
sub-18,20,P5,2
sub-18,20,P6,0
sub-18,20,P7,0
sub-18,21,P1,0
sub-18,21,P2,0
sub-18,21,P3,0
sub-18,21,P4,2
sub-18,21,P5,0
sub-18,21,P6,0
sub-18,21,P7,0
sub-18,22,P1,0
sub-18,22,P2,0
sub-18,22,P3,0
sub-18,22,P4,0
sub-18,22,P5,0
sub-18,22,P6,0
sub-18,22,P7,0
sub-18,23,P1,0
sub-18,23,P2,2
sub-18,23,P3,0
sub-18,23,P4,0
sub-18,23,P5,0
sub-18,23,P6,0
sub-18,23,P7,0
sub-18,24,P1,0
sub-18,24,P2,0
sub-18,24,P3,1
sub-18,24,P4,0
sub-18,24,P5,0
sub-18,24,P6,0
sub-18,30,P1,2
sub-18,30,P2,0
sub-18,30,P3,0
sub-18,30,P4,0
sub-18,30,P5,0
sub-18,30,P6,0
sub-18,30,P7,0
sub-18,30,P8,1
sub-18,30,P9,2
sub-18,30,P10,2
sub-18,31,P1,2
sub-18,31,P2,0
sub-18,31,P3,0
sub-18,31,P4,0
sub-18,31,P5,1
sub-18,32,P1,2
sub-18,32,P2,0
sub-18,32,P3,0
sub-18,32,P4,0
sub-18,32,P5,2
sub-18,32,P6,0
sub-18,33,P1,0
sub-18,33,P2,0
sub-18,33,P3,0
sub-18,33,P4,0
sub-18,33,P5,0
sub-18,33,P6,0
sub-18,33,P7,0
sub-18,34,P1,0
sub-18,34,P2,0
sub-18,34,P3,2
sub-18,34,P4,0
sub-18,34,P5,0
sub-18,34,P6,1
sub-18,35,P1,0
sub-18,35,P2,0
sub-18,35,P3,0
sub-18,35,P4,0
sub-18,35,P5,1
sub-18,35,P6,2
sub-18,36,P1,2
sub-18,36,P2,0
sub-18,36,P3,0
sub-18,36,P4,0
sub-18,36,P5,0
sub-18,36,P6,2
sub-18,37,P1,0
sub-18,37,P2,0
sub-18,37,P3,0
