participant_id,event_number,central_id,score
sub-10,1,C1,1
sub-10,1,C2,0
sub-10,1,C3,2
sub-10,1,C4,2
sub-10,1,C5,2
sub-10,1,C6,1
sub-10,1,C7,1
sub-10,1,C8,0
sub-10,1,C9,0
sub-10,2,C1,0
sub-10,2,C2,2
sub-10,2,C3,2
sub-10,2,C4,2
sub-10,2,C5,0
sub-10,2,C6,2
sub-10,2,C7,1
sub-10,3,C1,1
sub-10,3,C2,2
sub-10,3,C3,0
sub-10,3,C4,1
sub-10,3,C5,2
sub-10,4,C1,0
sub-10,4,C2,0
sub-10,4,C3,0
sub-10,4,C4,1
sub-10,4,C5,1
sub-10,4,C6,2
sub-10,4,C7,0
sub-10,4,C8,0
sub-10,5,C1,2
sub-10,5,C2,2
sub-10,5,C3,2
sub-10,5,C4,2
sub-10,5,C5,1
sub-10,5,C6,2
sub-10,5,C7,2
sub-10,6,C1,1
sub-10,6,C2,2
sub-10,6,C3,2
sub-10,6,C4,2
sub-10,6,C5,2
sub-10,6,C6,2
sub-10,6,C7,0
sub-10,7,C1,0
sub-10,7,C2,1
sub-10,7,C3,2
sub-10,7,C4,2
sub-10,7,C5,0
sub-10,7,C6,2
sub-10,8,C1,0
sub-10,8,C2,1
sub-10,8,C3,0
sub-10,8,C4,0
sub-10,8,C5,2
sub-10,8,C6,2
sub-10,9,C1,2
sub-10,9,C2,2
sub-10,9,C3,2
sub-10,9,C4,2
sub-10,9,C5,1
sub-10,10,C1,0
sub-10,10,C2,2
sub-10,10,C3,0
sub-10,10,C4,2
sub-10,10,C5,0
sub-10,10,C6,0
sub-10,10,C7,0
sub-10,12,C1,2
sub-10,12,C2,0
sub-10,12,C3,0
sub-10,12,C4,0
sub-10,12,C5,2
sub-10,12,C6,0
sub-10,12,C7,1
sub-10,13,C1,1
sub-10,13,C2,0
sub-10,13,C3,1
sub-10,13,C4,2
sub-10,13,C5,0
sub-10,13,C6,2
sub-10,13,C7,0
sub-10,13,C8,2
sub-10,14,C1,2
sub-10,14,C2,2
sub-10,14,C3,2
sub-10,14,C4,0
sub-10,15,C1,2
sub-10,15,C2,2
sub-10,15,C3,2
sub-10,15,C4,2
sub-10,15,C5,2
sub-10,15,C6,2
sub-10,15,C7,2
sub-10,15,C8,0
sub-10,16,C1,2
sub-10,16,C2,0
sub-10,16,C3,2
sub-10,16,C4,1
sub-10,16,C5,0
sub-10,17,C1,0
sub-10,17,C2,2
sub-10,17,C3,0
sub-10,17,C4,2
sub-10,17,C5,2
sub-10,17,C6,0
sub-10,17,C7,1
sub-10,18,C1,1
sub-10,18,C2,2
sub-10,18,C3,2
sub-10,18,C4,0
sub-10,18,C5,2
sub-10,19,C1,2
sub-10,19,C2,2
sub-10,19,C3,1
sub-10,19,C4,0
sub-10,19,C5,2
sub-10,19,C6,0
sub-10,20,C1,2
sub-10,20,C2,1
sub-10,20,C3,1
sub-10,20,C4,2
sub-10,20,C5,2
sub-10,20,C6,2
sub-10,20,C7,2
sub-10,21,C1,2
sub-10,21,C2,1
sub-10,21,C3,2
sub-10,21,C4,0
sub-10,21,C5,2
sub-10,21,C6,2
sub-10,21,C7,1
sub-10,22,C1,2
sub-10,22,C2,2
sub-10,22,C3,2
sub-10,22,C4,2
sub-10,22,C5,2
sub-10,22,C6,2
sub-10,22,C7,0
sub-10,23,C1,2
sub-10,23,C2,2
sub-10,23,C3,2
sub-10,23,C4,1
sub-10,23,C5,0
sub-10,23,C6,1
sub-10,23,C7,0
sub-10,24,C1,0
sub-10,24,C2,0
sub-10,24,C3,2
sub-10,24,C4,0
sub-10,24,C5,2
sub-10,24,C6,0
sub-10,25,C1,1
sub-10,25,C2,0
sub-10,25,C3,0
sub-10,25,C4,0
sub-10,25,C5,0
sub-10,26,C1,2
sub-10,26,C2,0
sub-10,26,C3,2
sub-10,26,C4,1
sub-10,26,C5,0
sub-10,26,C6,0
sub-10,27,C1,2
sub-10,27,C2,2
sub-10,27,C3,2
sub-10,27,C4,2
sub-10,27,C5,2
sub-10,27,C6,2
sub-10,27,C7,0
sub-10,27,C8,2
sub-10,27,C9,2
sub-10,27,C10,0
sub-10,28,C1,0
sub-10,28,C2,0
sub-10,28,C3,0
sub-10,28,C4,0
sub-10,28,C5,0
sub-10,28,C6,0
sub-10,28,C7,2
sub-10,28,C8,1
sub-10,28,C9,1
sub-10,30,C1,0
sub-10,30,C2,0
sub-10,30,C3,1
sub-10,30,C4,2
sub-10,30,C5,2
sub-10,30,C6,2
sub-10,30,C7,2
sub-10,30,C8,2
sub-10,30,C9,2
sub-10,30,C10,0
sub-10,31,C1,2
sub-10,31,C2,0
sub-10,31,C3,2
sub-10,31,C4,2
sub-10,31,C5,2
sub-10,32,C1,2
sub-10,32,C2,0
sub-10,32,C3,2
sub-10,32,C4,2
sub-10,32,C5,0
sub-10,32,C6,1
sub-10,33,C1,1
sub-10,33,C2,2
sub-10,33,C3,2
sub-10,33,C4,1
sub-10,33,C5,2
sub-10,33,C6,2
sub-10,33,C7,2
sub-10,34,C1,2
sub-10,34,C2,1
sub-10,34,C3,2
sub-10,34,C4,2
sub-10,34,C5,2
sub-10,34,C6,2
sub-10,35,C1,1
sub-10,35,C2,0
sub-10,35,C3,0
sub-10,35,C4,2
sub-10,35,C5,2
sub-10,35,C6,1
sub-10,36,C1,1
sub-10,36,C2,0
sub-10,36,C3,0
sub-10,36,C4,0
sub-10,36,C5,0
sub-10,36,C6,2
sub-10,37,C1,0
sub-10,37,C2,1
sub-10,37,C3,0
sub-10,37,C4,1
sub-10,37,C5,0
sub-10,37,C6,2
sub-10,37,C7,2
sub-10,38,C1,0
sub-10,38,C2,2
sub-10,38,C3,2
sub-10,38,C4,2
sub-10,38,C5,1
sub-10,38,C6,2
sub-10,38,C7,2
sub-10,38,C8,2
sub-10,39,C1,0
sub-10,39,C2,0
sub-10,39,C3,0
sub-10,39,C4,2
sub-10,39,C5,2
sub-10,39,C6,2
sub-10,39,C7,1
sub-10,40,C1,0
sub-10,40,C2,0
sub-10,40,C3,0
sub-10,40,C4,0
sub-10,40,C5,0
sub-10,42,C1,0
sub-10,42,C2,0
sub-10,42,C3,2
sub-10,42,C4,1
sub-10,42,C5,0
sub-10,42,C6,0
sub-10,42,C7,0
sub-10,42,C8,0
sub-10,42,C9,0
sub-10,43,C1,0
sub-10,43,C2,0
sub-10,43,C3,2
sub-10,43,C4,0
sub-10,43,C5,2
sub-10,43,C6,2
sub-10,44,C1,2
sub-10,44,C2,1
sub-10,44,C3,2
sub-10,44,C4,2
sub-10,44,C5,1
sub-10,44,C6,2
sub-10,45,C1,2
sub-10,45,C2,0
sub-10,45,C3,0
sub-10,45,C4,2
sub-10,45,C5,1
sub-10,45,C6,0
sub-10,45,C7,2
sub-10,46,C1,0
sub-10,46,C2,0
sub-10,46,C3,2
sub-10,46,C4,0
sub-10,46,C5,0
sub-10,46,C6,0
sub-10,46,C7,0
sub-10,46,C8,2
sub-10,46,C9,2
sub-10,46,C10,2
sub-10,46,C11,0
sub-10,47,C1,0
sub-10,47,C2,0
sub-10,47,C3,2
sub-10,47,C4,2
sub-10,47,C5,2
sub-10,47,C6,2
sub-10,47,C7,0
sub-10,48,C1,1
sub-10,48,C2,2
sub-10,48,C3,0
sub-10,48,C4,1
sub-10,48,C5,2
sub-10,48,C6,0
sub-10,48,C7,2
sub-10,48,C8,2
sub-10,48,C9,0
sub-10,49,C1,2
sub-10,49,C2,1
sub-10,49,C3,0
sub-10,49,C4,2
sub-10,49,C5,0
sub-10,49,C6,2
sub-10,49,C7,0
sub-10,49,C8,0
sub-10,50,C1,2
sub-10,50,C2,1
sub-10,50,C3,0
sub-10,50,C4,0
sub-10,50,C5,0
sub-10,50,C6,0
sub-10,50,C7,0
sub-10,51,C1,0
sub-10,51,C2,2
sub-10,51,C3,2
sub-10,51,C4,2
sub-10,51,C5,2
sub-10,51,C6,0
sub-10,51,C7,0
sub-10,51,C8,0
sub-10,51,C9,2
sub-10,52,C1,2
sub-10,52,C2,1
sub-10,52,C3,0
sub-10,52,C4,2
sub-10,52,C5,2
sub-10,52,C6,0
sub-10,52,C7,0
sub-10,53,C1,2
sub-10,53,C2,2
sub-10,53,C3,2
sub-10,53,C4,2
sub-10,53,C5,1
sub-10,53,C6,1
sub-10,53,C7,0
sub-10,54,C1,2
sub-10,54,C2,2
sub-10,54,C3,2
sub-10,54,C4,2
sub-10,54,C5,0
sub-10,55,C1,0
sub-10,55,C2,1
sub-10,55,C3,2
sub-10,55,C4,2
sub-10,55,C5,2
sub-10,55,C6,2
sub-10,55,C7,2
sub-10,55,C8,2
sub-10,56,C1,2
sub-10,56,C2,2
sub-10,56,C3,2
sub-10,56,C4,1
sub-10,56,C5,2
sub-10,56,C6,1
sub-10,56,C7,1
sub-10,56,C8,0
sub-10,57,C1,2
sub-10,57,C2,2
sub-10,57,C3,2
sub-10,57,C4,1
sub-10,57,C5,2
sub-10,58,C1,0
sub-10,58,C2,0
sub-10,58,C3,0
sub-10,58,C4,1
sub-10,58,C5,2
sub-10,58,C6,0
sub-10,59,C1,2
sub-10,59,C2,2
sub-10,59,C3,2
sub-10,59,C4,2
sub-10,59,C5,1
sub-10,59,C6,2
sub-10,59,C7,0
sub-10,60,C1,2
sub-10,60,C2,0
sub-10,60,C3,2
sub-10,60,C4,2
sub-10,60,C5,0
sub-10,60,C6,0
sub-10,61,C1,2
sub-10,61,C2,2
sub-10,61,C3,2
sub-10,61,C4,0
sub-10,61,C5,0
sub-10,61,C6,2
sub-10,61,C7,0
sub-10,62,C1,1
sub-10,62,C2,2
sub-10,62,C3,2
sub-10,62,C4,0
sub-10,62,C5,0
sub-10,63,C1,1
sub-10,63,C2,0
sub-10,63,C3,1
sub-10,63,C4,2
sub-10,63,C5,1
sub-10,63,C6,2
sub-10,63,C7,1
sub-10,64,C1,0
sub-10,64,C2,1
sub-10,64,C3,2
sub-10,64,C4,2
sub-10,64,C5,2
sub-10,64,C6,2
sub-10,64,C7,2
sub-10,65,C1,1
sub-10,65,C2,0
sub-10,65,C3,0
sub-10,65,C4,2
sub-10,65,C5,2
sub-10,65,C6,0
sub-10,66,C1,2
sub-10,66,C2,0
sub-10,66,C3,2
sub-10,66,C4,1
sub-10,66,C5,2
sub-10,66,C6,2
sub-10,66,C7,2
sub-10,67,C1,0
sub-10,67,C2,1
sub-10,67,C3,2
sub-10,67,C4,1
sub-10,67,C5,1
sub-10,67,C6,2
sub-10,67,C7,1
sub-10,67,C8,0
sub-10,68,C1,0
sub-10,68,C2,2
sub-10,68,C3,2
sub-10,68,C4,1
sub-10,68,C5,2
sub-10,68,C6,1
sub-10,68,C7,2
