events,transcript,recalled,recall_duration,recall_wordcount
1,"So it starts out with this game show in the 70s, something called like To Tell the Truth. And so there are these 3 guys dressed in airline outfits that walk out onto stage and stop at these little T-marks. And one of them is the true person, 2 are impostors, and the point of the game show is for contestants to figure out who’s the right person. And so they walk out onto the stage, and the announcer says something like, or they all introduce themselves as like “I am Frank Abagnale,” and I forget his middle initial or middle name. And then maybe it was the announcer or maybe it was each of them describe one thing they did, and it was like, they were an airline pilot for several years. They were some physician doctor at a Georgia hospital. And then I forget if it was like Louisiana, some sort of lawyer I think. Anyway, and then they walk over to their little podium stand things. And there are these like cool little designs in the back, little figure things. ",1,53,184
2,"Anyway, the contestants ask, one of the contestants asks the first person why’d they do it, and the person is like, “It was truly a dollars and cents thing. I needed the money” basically. And then the contestant asked the second person, who is Leonardo Dicaprio, who is the true Frank. Who chased him? And that’s when he says, “Carl.”",1,20,60
3,"And then it cuts to France, Marseilles, France, and it’s Tom Hanks’ character, Carl Hanratty, talking to the French police, trying to explain his name, and it’s raining and pouring, and he has an umbrella, and everyone’s soaking wet. And it’s like the French police don’t seem to really understand what, what Carl Hanratty is saying. Anyway, so after that, it’s Marseilles, France, 1969, he walk.",1,21,66
4,"He’s in this like jail, and Frank is in the jail in one of the cells, like maximum seclusion. And one of the officers takes Carl to the front of the, Frank’s cell, and says, “Sit here on the stool,” and he opens this little trap door thing, and he's like, “Don’t pass anything through there.”",1,17,56
5,"And Carl sits down, and he starts reading, what’s the word? Like extradition stuff to Frank, because he’s gonna take him back to the U.S., because, well you don’t know this at that part, but later on in the movie you find out that he’s arrested by the police for printing money. Anyway, I won’t get into that, but anyway he's going, getting, you know that he's getting extradited back to the U.S. And while Carl is reading the extradition laws, Frank is coughing. Eventually he falls over, and while he’s coughing, Carl’s like, “You're not fooling me.” But then Frank eventually tips over, and Carl tosses away his stool and yells at the French policeman to like open the gate. “This guy’s sick. Get him a doctor.”",1,34,128
6,"And it cuts to like the police officers dumping Frank on a cot in like a sort of medical ward part of the prison.  And then they start rinsing their hands, and Carl’s like, “What are you doing?” and all the officers are like, “We’re getting rid of the lice.” And Carl’s like, “He needs to see a doctor,” and they're like, “Well the doctor can see him in the morning.” I forget if they say in the morning or, you know, after the weekend or something. So they begin to argue a little bit, but then the camera pans over to an open door.  And so like Frank has slipped through the door.",1,25,116
7,"The next scene is Frank running down the hallway of a prison, but he's like kind of limping and falling all over the place, so he's trying to escape, he wasn’t faking that, he really was sick. Anyway, the police officers and Carl walk up to him. And the head guy, the French police, holds like a pistol to the top of Frank’s head, and Frank just stops there, and like falls, like kind of leans down and lies on his back, back spread over, and he’s like, “Okay, Carl, you can take me home.”",1,25,95
8,"It’s like sort of Claymation, and it’s this young lady, who is about to eat some pizza, and she gets a knock on her door. And she opens the door, and all that’s there is this manila envelope. And in the manila envelope, she opens it, and there's a record.",1,12,50
9,"So she, it’s a small, it’s like a 7-inch, so she puts the record on. She has a record player conveniently next to her pizza, and she starts playing it. And she's about to like take a bite of the pizza, and the pizza like has disappeared, like halfway disappeared. And she notices this, and she like looks at the record, and then she like reruns, she like sort of like rotates the, you know, the record around to like sort of rewind it. And the pizza comes back, and then she like fast forwards, and the pizza goes away, and she does that back and forth a couple times. And now I'm forgetting the lyrics of the song, but it’s something like, “Don’t rush” or “Take your time,” which is obviously directly related to what the record is doing, fast-forwarding and rewinding time relative to like where in the song the needle is.",1,40,154
10,"So then she like skips ahead, and it’s to the point where you like see a picture frame, she's married. And then it like pans down, and she's pregnant, and she like fast forwards and rewinds, and her stomach like grows and shrinks. And then she, you know, skips ahead a little bit, and the baby pops like into her arms. And she seems like pretty pleased at that point, and like this is pretty cool.",1,16,76
