events,transcript,recalled,recall_duration,recall_wordcount
1,"So the first one is Catch Me If You Can, and they start with a game show. So they have three people come out, and they say their name, and it’s Frank something, and they're all the, saying they're same name. And they say that he’s the best con man, and he had flown planes, like two million miles, and he had also been the pediatric doctor surgeon something, and then he was the youngest, ‘cause he did this all by age 19. And then the guys who are standing up, they walk over to take seats behind the desks.",1,28,100
2,"And they say today they have to be truthful, and the woman asks, you know, “Why’d you do this?” and the guy is like, “For the money. I didn’t know any other way to make it.” And then she asks, she asks number one that, and then she asks number two, she goes like, “How’d you get caught?” and he says it’s this guy Carl.",1,15,65
3,"And then it sort of flashes back to this like rainy scene outside a prison in Marseilles. And Tom Hanks is there, I gue ss he’s Carl, and they're talking to the French guys who run the jail.And they wanna get in and see the, the con man who’s in prison there.",1,17,52
4,"And so they are trying to talk to them, and then they finally get let into this really sort of dreary prison. And they get let in, and then they go up to the jail cell where he is at the end of the hallway, and Tom Hanks is trying to read the articles of extradition.",1,14,56
5,"And they get let in, and then they go up to the jail cell where he is at the end of the hallway, and Tom Hanks is trying to read the articles of extradition. And Leo Dicaprio’s character is like coughing in the back corner. And he’s like, “You're not gonna fool me, ‘cause you think I’m gonna be fooled,” and he’s coughing and coughing, and then he collapses. And then Tom Hanks starts screaming for a doctor.",1,19,78
6,"So they get him out of the jail cell, and they bring him up to the hospital. And he’s asking the guys about the doctor, and he says like, “Don’t ruin it for me. I’ve been chasing this guy forever.” And then they say, as they're talking, “The doctor will be there tomorrow,” and as they're talking, I guess Leo Dicaprio’s character escapes through the door. And they look at the empty bed, and the door is ajar, and so they go through the door, and Leo Dicaprio’s character’s running down the hallway, and all the prisoners are up on the second level screaming.",1,24,104
7,"And they look at the empty bed, and the door is ajar, and so they go through the door, and Leo Dicaprio’s character’s running down the hallway, and all the prisoners are up on the second level screaming. And he's like collapsing ‘cause he’s really sick, and he's falling, but he's trying to run. And then he collapses, and the guards and Tom Hanks catch up to him, and one of the guards puts a gun to his head. And then he sort of gives up and falls on the floor with his arms up, and he says like, “Alright, take me home.”",1,23,103
8,"And then there was a clip about the, this girl’s eating a pizza, and she gets a package outside the door, and it’s a record, and so she puts on the record.",1,9,32
9,"and she gets a package outside the door, and it’s a record, and so she puts on the record. And as she spins the record forward, like time passes, and her pizza’s half eaten. And she spins the record forward more, and more time passes, and like the whole box is eaten and the candle goes down. And then she spins the record back, and it undoes that .And so she keeps spinning it forward and back.",1,20,77
10,"And so then she spins it forward and she’s pregnant. Then she spins it back and she's not pregnant, and forward and she's pregnant again, and then forward a bit more and she's holding a baby, and the baby starts screaming. So she screams for, she spins it forward more.",1,9,50
11,,0,,0
12,"And then she's in a wheelchair with her leg broken. And she's trying to reach it to spin it, the record, but she can't reach it, because she keeps getting electrocuted or something. And then she, it goes backward, and she's trying to reach it, she can't reach it, and she falls backwards.",1,16,53
13,"And then she gets really old, ‘cause I guess the record jumped, and she's in a walker and she's really old. She's trying to get to the record, and she can’t. And then the record skips ahead again, and it’s, she's in an urn, and the lid is like, you know, bouncing or something.",1,12,54
14,"And then there's a Boyfriend clip, where there’s this woman, and she's eating dinner and having sort of stilted conversation with this guy, and they're at opposite ends of the table. And she's trying to offer him wine, and he's like, “You know I can’t drink wine when I'm on call.”",1,15,51
15,"And she's trying to offer him wine, and he's like, “You know I can’t drink wine when I'm on call.” And she says, she drinks, and she's not happy about that, and so she drinks a lot of wine. Or she finishes her cup of wine, and then she pours herself more. And they're talking about the asparagus and how it’s tender, and she says, “It’s an aphrodisiac,” and he says, “Who says that?”",1,23,74
16,"And then she spills, like throws wine on his face. And then she, so yeah, she spills wine on his head, and she gets upset.",1,5,25
17,"And then he starts lighting a cigarette. And she is like, “Don’t smoke in my house,” and then she puts out his cigarette, and he lights another one. And then she like screams at him, like, you know, something about their relationship and how it’s unhappy, and they’ve like, quick, short mechanical sex.",1,13,53
18,"And then she sits on his lap, and she's like apologizing. And so she's like sort of upset on his lap.",1,8,21
19,Then she reaches around his neck and flips this switch.,1,4,10
20,"And then she gets on her computer, and she's looking at all these models of male sort of robots. And she calls the help line, and she sort of complains about the 100 model. And the help line, and she says like, you know, “He lacks ambition, and he is,” I forget the other thing, but she, the help line lady says, you know, “That’s a problem with these, this model.” And so she says, you know, “We could upgrade you,” and she says, “Yeah, I’d like to be upgraded to a rock climber masseuse, with less of a beard and shorter hair.” ",1,30,104
