events,transcript,recalled,recall_duration,recall_wordcount
1,"The first skit, uh, the first story, was called Catch Me If You Can, and it opens on the stage of a game show that looks like it's set in the 1970s. And I think the show was called So you tell a lie? And it's um shown on this kind of like billboard logo kind of Las Vegas style. And it starts with a voiceover, a host is saying something about how um we're going to bring on stage one of the greatest impersonators through history. And um that this guy had flown for, wait so before that, these three guys in airline pilot suits come out and they each introduce themselves as Frank something, I think it's Frank Anglesall. And um the camera pans from each one to another as the voiceover says um this guy had impersonated a pilot for PanAm and flown like 300 miles or like 3000 miles for free. And he did this at the same time as pretending to be a doctor at some like at like Mass General Hospital, um and that he had done all of this before the age of 19. Oh before he says that he did this before the age of 19, he says he also stole like several million dollars and forged bills and checks.",1,70,218
2,"And so then it goes to this old lady who asks some questions. And she asks number one, um, the first impersonator number one, like, uh why did you do this `cause you're so smart, how did obviously, why did you put all this effort into impersonating people when you could just actually do something and become a doctor for real? And the first pilot guy says that it was really a um, a calculated thing, which was that it was just uh dollars and cents, he used that phrase, and he thought that it was just the way he could make the most money with the least effort. And then the lady asks the second impersonator who is acted by Leonardo di Caprio and she asked him, how did you get caught? And he says he got caught by a um, this detective, I forget his name, Carl, I think.",1,43,151
3,"And as he's, at the moment he says that, it flashes back to this um guy Carl who's this big old guy wearing a hat and a big trenchcoat. And he's talking to a bunch of French police officers who were carrying umbrellas and he was telling them that he's like the American detective or the American police officer. And he demands to see Frank the prisoner.",1,19,67
4,"Um and eventually they take him down this into this like nasty prison, in uh Marseilles, I think on the screen it says Marseilles, 1947 or something like that. And so then he arrives at this prison door and um the prison guard tells him uh you won't open this door, don't open this door, and he opens this little slot and he says, don't pass him anything through here. You can sit here and talk to him but don't pass him anything through this grill.",1,23,86
5,"So then he sits down and he looks inside through this grill, it looks like a shot of like this cell looking out at him and he tells the prisoner that he's been sent there by the U.S. Consulate or something to read him his rights under like extradition treaty. He starts on Article 1, it's really boring, I don't remember what he says, but the prisoner inside, Frank, is coughing really hard and he's like wrapped up in these blankets and he's really dirty and has lots of like really long hair and like...and stuff. And he's coughing and coughing and coughing and he says help me, help me, and um the police officer is like no don't do this to me, you know I can't, or whatever. So then he says like stay with me, he starts with Article 2 and then the prisoner um starts coughing and then he collapses and it looks like he's dead or like in a coma. And so the police officer gets really worried and he stands up and starts shouting, like Frank! Frank! And then like shouts to the police officers that he needs a doctor, he needs a doctor.",1,42,199
6,"And so they come and take him out and they bring him to the medical bay and um they wrestle him onto the bed where he looks like he's dying. He's coughing and the police officer's like listen to me Frank, I'm gonna get you out of here, tomorrow we're going home, tomorrow we're going home, and then the chief of the prison and the guards are then washing their hands and he's like what's he doing, and the police officers said they're washing their hands so we don't get lice  and uh the police officer says he needs to see a doctor if he's coming back to America tomorrow, and the guy says um, the person says listen, um, the doctor's not coming until tomorrow, and so the police officer says ah this guy is coming back to America and he needs to see a doctor, if he dies it's on your head. And then the prison ward then turns around, and the door is swinging, and they open the curtains, surrounding the bed, and it's empty.",1,44,179
7,"And then it flashes to this long hallway in the prison full of cells, it's two stories and all the prisoners are shouting um because the prisoner Frank is running down it trying to escape. But then he collapses and he just has to crawl. And as he's crawling away, you can see the ward and the prison guards and the policeman going after him. And eventually the ward catches up with him and he pulls out a gun, and he sticks it against Frank's head. And so Frank like sits back on his knee and he raises his hands and says okay Carl, the police officer, take me home. And then he collapses backwards on his back like spreadeagle and then the clip ends.",1,29,125
8,"And it's a cartoon and there's this woman with like bright orange hair who's sitting on an armchair at a fuzzy old house. Um and a package arrives at the door, so she goes and gets it, she opens it up and it's a record and the record is called um the single life.",1,15,54
9,"And so she puts it into her record player and she sits down with a slice of pizza. But then as it's playing, slowly the slice of pizza is like...it all disappears except for the crust. And she's really confused and then she looks down at the record and spins it backwards. The pizza reappears. She scoots it forward, the pizza disappears again. She does it several times and then she fast-forwards way ahead, or like a bit more. And the pizza disappears and the red candle sitting on her bedside like burns all the way down. And then she goes back and forth between that a couple times.",1,23,109
10,"And then she's like uh she spins it really far, a lot, and then she's in a new house and it looks like kind of an upscale house. And she's wearing like a fancy black dress and it looks like really well to-do, and she looks down at herself and it turns out she's pregnant. And she's like really happy and there's a picture of her like getting married on the mantelpiece. So then she gets a like, she has an expression on her face like she suddenly gets an idea, and she spins the record a whole bunch, like around around around really fast, and then suddenly she's not pregnant anymore, and there's a kid. ",1,25,117
11,,0,,0
12,"Um and then I don't remember exactly what happens to the kid, like the kid is annoyed with something, and so she spins the record way further and then uh suddenly she's old and in a wheelchair. And um she tries to spin it forward but I guess her hands are shaking, so as she wheels forward and tries to spin it, it keeps resetting her to the beginning where she is just sitting there, so that happens over and over and over, until she gets a really determined look on her face, and she spins it, ",1,24,98
13,"and then suddenly she's like an old lady and she's no longer in a wheelchair, but she has a walker. And she's kind of confused about this and so she goes forward to the record player to move it again, but as she walks forward, she trips and falls. And then um while she's lying on the ground, the record ends and um she dies and becomes a um ashes and then the needle on the record gets set on the side of the record player and it ends.",1,24,89
14,"And then another clip was called like the Boyfriends and then it flipped to a screen that said High maintenance. And it opens on this um pretty fancy dining room and there's a long table with a white tablecloth, and three candles on it. And at one end, there's this woman, this white woman with short, dark hair, and at the other end is this white guy with dark hair. And they're eating dinner in silence, and it's kind of awkward. Um it seems sort of stilted. And the woman asks him, uh, would you like some wine? Um he says no, or no no no sorry, she gets up to pour wine into his glass, but he covers it with his glass and he says ""you know I can't drink when I'm on call,"" ",1,38,136
15,"Um he says no, or no no no sorry, she gets up to pour wine into his glass, but he covers it with his glass and he says ""you know I can't drink when I'm on call,"" and the woman kind of like rolls her eyes and she goes back to her seat and pours herself a giant glass of wine and then drinks the entire thing in one gulp and then refills it. the guy says something like ""the asparagus is particularly tender today, honey,"" and uh the woman says, ""some people say that asparagus is an aphrodisiac,"" and the guy's really stilted and he's wearing like a suit and he says ""who says that?” And the woman's like, oh you know just some people, you know, like people. Um, and then it's really awkward and she suddenly, something happens, which I can't quite remember, and then she suddenly says like ""this isn't what I expected for our anniversary. Today's our anniversary.”",1,40,163
16,"something happens and she throws the glass of water, the glass of wine, into his face. oh, right, I forgot this part. Earlier, she gets mad at him, and she's like you're just a computer system analyst, not a surgeon! You don't need to not drink when you're on call.",1,12,50
17,"Um and she starts shouting about how it's her anniversary and this isn't how she imagined her anniversary, silently eating dinner, and some awkward conversation, and then if she's lucky, followed by some really mechanical sex, um which she hates. And then the guy sits up, and he's covered in wine, and he takes out a cigarette and starts smoking, and she says like ""not in my house, you don't start smoking,"" and she takes it and then stubs it out in an ashtray on the other side of the table, but he just takes out another cigarette.",1,24,98
18,"Um, and then I'm not sure what happens, but she eventually approaches him, and she's like, ""oh I didn't mean that.” It sounded really sarcastic, but then she's sitting on his lap and she's like caressing him and being like ""you know I didn't mean what I said, I was just really angry,"" ",1,11,54
19,"and her hand reaches behind his head, so like his head lowers down his collar, where there's like this little like switch thing. And she switches it off and then the guy basically powers down, and it turns out he's a robot. And then she's just sitting there sighing. She goes back to the other side of the table, takes off her shoes, and sticks her feet on the table.",1,17,70
