events,transcript,recalled,recall_duration,recall_wordcount
1,"The segment opens on a, what appears to be a mid-70s game show, titled “To Tell the Truth.” It opens with the announcer introducing 3 gentlemen who walk from backstage, each identically dressed in the uniform of an airline pilot. He's introduced as Frank Abagnale, who was a con artist posing as an airline pilot, a pediatrician, and a third position, I can't recall. They take a seat on the side of the stage, and a contestant, an older women with brown hair, asks the first of the Frank Abagnales why he had chosen to live as a con artist rather than with a legitimate career, ",1,40,107
2,"They take a seat on the side of the stage, and a contestant, an older women with brown hair, asks the first of the Frank Abagnales why he had chosen to live as a con artist rather than with a legitimate career, and he replies that it was a matter of dollars and cents. She goes on to ask the second Abagnale who it was that finally caught him. And he replies that it was an FBI agent named Carl Hanratty.",1,28,81
3,And the segment then switches to Carl Hanratty in the rain outside a jail in Marseilles France. He's trying to explain to the prison administration that he's there to see Frank Abagnale.,1,11,32
4,"They admit him into the prison, and he's able to speak to Frank through a small slot in the prison cell.",1,6,21
5,"Frank is covered in a blanket with much longer hair than seen in the first segment, and he's coughing heavily.  Carl reads from what seems to be a worn prison arrest. Frank begins to cough heavily and collapses. Carl asks the prison guard to get a doctor to remove Frank from his cell, to remove Frank from his cell and bring him to a hospital bed, and they tell Carl that a doctor would not be available until the next day.",1,30,82
6,"Carl asks the prison guard to get a doctor to remove Frank from his cell, to remove Frank from his cell and bring him to a hospital bed, and they tell Carl that a doctor would not be available until the next day. Frank says that if, Carl says that if Frank dies under their watch, he will hold them responsible. Meanwhile, Frank has escaped from the hospital, ",1,22,69
7,"and down the hall of the main section of the prison, where the other inmates are encouraging his escape. He's pursued by the guards,  and one of the guards finally holds a gun to the back of his head, whereupon Frank again collapses,  and tells Carl, “Let’s go home.”",1,19,51
8,"We see a computer-animated segment with a young woman sitting in an apartment. She's about to eat a slice of pizza, when she hears a knock on the door. She goes to answer the door, there's no one there, but there is a small package, which she takes inside, opens, and sees it is a small 45 record.",1,14,58
9,"She puts it on the record player, and begins to eat her pizza but sees that a segment of it already appears to have been eaten. By accident she discovers that the further the song progresses, the further into the future it will take her, and she experiments with this so that, over the course of the segment, it brings her a few years into the future, where she's in a nicer apartment and pregnant.",1,26,75
10,"By accident she discovers that the further the song progresses, the further into the future it will take her, and she experiments with this so that, over the course of the segment, it brings her a few years into the future, where she's in a nicer apartment and pregnant.  she pushes the song further into the future so that she has her child in her arms, but as it’s crying, it seems to annoy her, and she brings the song closer to its beginning, which pushes her into her childhood.",1,27,91
11," she pushes the song further into the future so that she has her child in her arms, but as it’s crying, it seems to annoy her, and she brings the song closer to its beginning, which pushes her into her childhood.",1,11,42
12,"Then finally further into the future, where she's in a wheelchair, has difficulty approaching the record to change her position in time, ",1,8,23
13,"and finally brings her further into the future, where she's a much older woman on a walker, and she's trying to approach the record in time to stop the song from ending. She can't make it in time, and the segment ends with the woman as an urn of ashes.",1,15,50
14,"The segment is subtitled High Maintenance. It opens with a man and a woman sitting at opposite ends of a long dinner table. They're eating in silence. The woman goes to pour the man a glass of wine. He covers the glass with his hand, and says that he cannot drink.",1,18,51
15,"The woman in retaliation pours herself two glasses of wine. The man remarks that the asparagus is tender, to which she replies that it is an aphrodisiac. The man asks, “Who says so?” and she replies, “It’s just something people say.”",1,19,41
16,She throws a glass of wine in his face.,1,2,9
17,"He lights a cigarette. He snubs the cigarette out at the other end of the room. They're arguing. It was their marriage anniversary. She insults him, and later sees he’s upset.",1,29,31
