events,transcript,recalled,recall_duration,recall_wordcount
1,It started with a uh game show um with uh three individuals all claiming to be William Abagnale.,1,8,18
2,"And then some questions were asked of them, and I guess the point of the show was to try to determine who was actually William Abagnale.",1,4,26
3,"Then it went to a clip of a character played by Tom Hanks, whose name I forget, who was pursuing William Abagnale. And it was at a prison in Marseilles, France. And William Abagnale was being held there.",1,17,38
4,,0,,0
5,He was very sick and asked to see a doctor.,1,2,10
6,"When he went to see the doctor, he escaped briefly.",1,3,10
7,"And uh Tom Hanks' character and the prison guards pursued him and eventually caught him, uh at which point William Abagnale said something like ""okay, Frank, let's go home.""",1,10,29
8,"And it began with an animated character sitting at home, eating pizza, and she put on a record.",1,6,18
9,"And it began with an animated character sitting at home, eating pizza, and she put on a record. And when the record skipped, she realized that a piece of the pizza was gone and eventually put it together that um the record was somehow locked to the progress of time so that she could travel through time by either skipping forward in the record or skipping backward in the record, or playing the record backwards, et cetera. She then played around with this for a bit, playing the record forwards, backwards, observing time going forwards and backwards, and then skipped forward quite a bit, at which point she was pregnant.",1,29,110
10,"She then played around with this for a bit, playing the record forwards, backwards, observing time going forwards and backwards, and then skipped forward quite a bit, at which point she was pregnant. The sequence proceeded like this, she had a baby, it skipped forward quite a bit, and she was in a wheelchair, and kept skipping in a way that was annoying to her and comical.",1,20,67
11,,0,,0
12,"The sequence proceeded like this, she had a baby, it skipped forward quite a bit, and she was in a wheelchair, and kept skipping in a way that was annoying to her and comical.",1,9,34
13,"Then she was very old and she noticed that the record was about to play out, at which point she panicked and tried to stop it but it was too late, and then the next shot is her as an urn of her cremated ashes presumably.",1,11,46
14,It begins with a couple sitting across the table from one another having dinner. Things appear a little tense.,1,7,19
15,"It turns out it's their anniversary, the woman tries to pour the man a glass of wine and he refuses and says he's on call, the implication that he's a doctor probably? He mentions something about how the asparagus is tender and she says that's an aphrodisiac, or she says, they say it's an aphrodisiac, and his response is ""who says that,"" making it clear that he's not even really paying attention to the content of what she said.",1,21,79
16,"Um and then she gets upset at him, she, it seems that there's some tension already in the relationship but she seems to think he's rather mechanical and he seems frustrated with her. It turns out he's not actually a doctor, he's some sort of computer analyst. And so it seems kind of silly that he didn't want to have any wine while he was on call. And she's taking it very literally, and she looks very upset by this. At one point she throws wine on him, he starts smoking a cigarette inside, she gets upset, she puts it out, he starts smoking a cigarette inside again, ",1,32,109
