events,transcript,recalled,recall_duration,recall_wordcount
1,"The first movie was Catch Me If You Can, and it started out where Frank Abagnale Jr. was on the TV show To Tell The Truth with two other people, and the point of the show was to find out who was the real Frank, ",1,13,46
2,"and a woman on the panel asked him, who was the person that caught him, and he said, ""Carl Hanratty.""",1,5,20
3,"And then it changed to a scene where Carl was talking to the French police, because he was there from the FBI to get Frank for his extradition, and when he was taken into the room to see Frank, to read him his rights, Frank was really sick.",1,16,48
4,"And then it changed to a scene where Carl was talking to the French police, because he was there from the FBI to get Frank for his extradition, and when he was taken into the room to see Frank, to read him his rights, Frank was really sick.",1,16,48
5,"And then it changed to a scene where Carl was talking to the French police, because he was there from the FBI to get Frank for his extradition, and when he was taken into the room to see Frank, to read him his rights, Frank was really sick. He might’ve been pretending to be sicker than he was, and so Carl told the French police to get a doctor, ",1,23,70
6,"and they took, the police and Carl took Frank into a hospital room, but the French police said there wasn’t going to be a doctor until the next day if Carl wanted to take Frank back to America the next day.",1,12,41
7,"And while Carl and the police were arguing, Frank escaped through the door, but since he was sick, he was only able to crawl on the floor, and all the other prisoners were cheering, but eventually the French police and Carl caught up to him, and he surrendered.",1,13,48
8,"The second movie was a woman who had a pizza, ",1,7,11
9,"and she had brought a new record called A Single Life in, and she put the record on the turntable, but it was skipping, and every time it skipped, the pizza was already eaten, ",1,10,35
10,"so then she realized that she could use the record to change time, and she jumped forward. She was married. Then she was pregnant, and then she was turning it, and then she turned it forward more, and she had the baby, but that baby was crying, so she jumped back, but then she was a little kid, so she wanted to jump forward again.",1,17,65
11,"Then she was pregnant, and then she was turning it, and then she turned it forward more, and she had the baby, but that baby was crying, so she jumped back, but then she was a little kid, so she wanted to jump forward again.",1,11,45
12,"She jumped forward, and she was an old woman with a broken leg in a wheelchair, and she wanted to change it, but every time she wanted to wheel forward in her wheelchair, the record would skip and send her back, ",1,9,42
13,"so then she fell over on her back, and the record skipped forward, and she was really old, and she had a walker. Then she realized the record was about to end, so she tried to rush forward to stop it, but then she was dead, and she was ashes in a vase.",1,11,53
14,"It was about a woman, and at first it seemed like she was having anniversary dinner with her husband, her husband, but she was angry with him, because he didn't wanna relax and have a drink with her on their anniversary, because he said he had, he was on call.",1,16,50
15,"It was about a woman, and at first it seemed like she was having anniversary dinner with her husband, her husband, but she was angry with him, because he didn't wanna relax and have a drink with her on their anniversary, because he said he had, he was on call.",1,16,50
16,"But then she was angry, because he was just a computer analyst, and he, so he didn't really need to be totally uptight about having a drink, ",1,8,28
17,"and then she insulted him and said they would have mechanical sex, which turned out to be revealing, because then he was a robot. Oh, after he lit a cigarette, which made her mad, she turned him off, ",1,12,39
18,,0,,0
19,She turned him off.,1,1,4
20,"and then she went to her computer to order a new replacement boyfriend, husband, and she wanted a rock climber masseuse with more ambition, because the 100 series didn't have enough ambition, and he was 100 series, but she was getting like 300 series rock climber masseuse, ",1,15,48
21,"and then, so the two women came, and  the women looked really similar for some reason. They came and they delivered the new husband, and then she turned him on and like put the ring and stuff. Before they took away her old husband, she gave him a kiss, and then she took the ring off and put it on her new husband and turned him on, ",1,17,69
22,"and then she asked him if he wanted a drink, but he said no, because he had a big rock climb the next day. And then earlier when she was eating dinner with her original husband, she had said something about asparagus being an aphrodisiac, and then the new husband said the same thing about the asparagus, and then he said it was tender, something the old husband had said.",1,17,70
23,"And then the new husband went to give her a massage on her shoulders and asked her about her day, and she was telling him about how she bought a new husband, but then while she was telling him that, he turned her off, and it turned out she was also a robot, and then he went to smoke a cigarette and watch TV.",1,13,64
24,"but then while she was telling him that, he turned her off, and it turned out she was also a robot, and then he went to smoke a cigarette and watch TV.",1,6,32
25,,0,,0
26,"The fourth movie was the Shoe, and there was a guy, and he was just kind of relaxing and leaning against his car, and then this old guy, not old guy, this guy came, and he was like, ""Get off my car"" basically, but he didn’t say that out loud.",1,14,50
27,"And then, so the guy was walking down the sidewalk, and then he noticed this girl across the street from him, walking down the sidewalk in the same direction, and she was doing all the same stuff as him, so then they were like walking down the sidewalk goofing around, and making goofy faces. So then the girl realized that he was about to walk to the edge of the sidewalk and walk into the street where a car was coming, so she was putting her arms up to tell him to stop, but he thought that they were still playing the game.",1,23,103
28,"And then he walked out in front of the car and got hit by the car, and then his shoes came off, and they flew all the way down to, at the beginning when they first showed the title of the movie, like where, where they, how they got there, and it showed a pair of shoes, ",1,14,58
29,"and Keith was a little blue guy with a purple hat, and he pulled up in his blue car to his office building where he worked, and he expected to get a promotion, which he was really excited about, because he wanted to impress this woman.",1,11,46
30,"and Keith was a little blue guy with a purple hat, and he pulled up in his blue car to his office building where he worked, and he expected to get a promotion, which he was really excited about, because he wanted to impress this woman. I can't remember her name, but she was pink, and every day Keith made a coffee for the pink woman, but she didn't really like him, so she threw it out the window, and it fell onto this orange guy, who was a window cleaner, who had a ladder, and then he fell, ",1,24,100
31,"and then the, a different guy downstairs saw the guy fall. The guy in HR saw the guy fall.",1,5,19
