events,transcript,recalled,recall_duration,recall_wordcount
1,"We start off in what looks like the stage area for a TV show, and there's a host, and he's talking, and he invites to stage three guys. All of them are pretty young, in their late twenties, and they're wearing pilot clothes, and all of them for whatever reason are addressed to as Frank Abagnale. I think it's some kind of TV show where you're supposed to prove that one of them is Frank, or something like that. I think it's some kind of TV show where you're supposed to prove that one of them is Frank, or something like that. Okay, so the three guys walk to the three, whatever he calls those things in Jeopardy, and they're being asked questions,  ",1,39,125
2,"Okay, so the three guys walk to the three, whatever he calls those things in Jeopardy, and they're being asked questions, and the first question is for the guy on the left, and this lady asks him why he did what he did, and he gives this dry, boring answer, saying he just needed the money,  and then I think the TV show host, like the guy who's talking at the beginning, white hair, pretty old, asks Leonardo DiCaprio, who's sitting in the middle, who caught him, and he starts to remember, ",1,30,94
3,"and the scene cuts back to a flashback in Marseilles, in France, where we see a guy, his name is Carl Hanratty. He's like a policeman. He's got this hat, and he's talking to a bunch of people, trying to get somewhere, and it's raining, it's pretty bleak out, really like dark grey weather. He's Tom Hanks.",1,19,57
4,"He walks to this, what looks like this like French maximum security prison and is like let in and finally gets to the cell of Frank Abagnale, and I think he's there to, it says he's there to like prep him for a trial, pick him up for a trial.",1,16,50
5,"But Leonardo DiCaprio's not in very good shape. He's coughing a lot, he's got really long hair, he's like pretty dirty, he seems to be struggling, and finally he actually, during the conversation, he faints and kind of this persuades Carl to call up the French officers and ask for a doctor. He thinks it's an emergency, even though he was advised before not to like pass any food, kind of not to believe anything that Frank does.",1,22,78
6,"In any case, it becomes clear a little bit later that, from him talking to the French guys, that he's there to take him to America. They take Frank to this infirmary. It's like Carl and Frank and maybe like five other French officers with funny hats and mustaches, and Frank gets sat on this infirmary bed. He's the only guy there, he's coughing pretty violently, and then Carl is pretty, pretty adamant. He really wants a doctor for this guy. He doesn't want him to die before he gets him to America. He seems like he's after some kind of prize, and as they talk, and they kind of argue and bicker, they sort of lose sight of Frank, and at some point they hear this door open and realize that Frank has escaped.",1,35,135
7,"Then the scene cuts to Frank still coughing and walking really haphazardly through, through the prison as the other prisoners are like cheering him on, and finally he, the French officers and Carl catch up with him. Carl kind of gives him this look like ""Uch, Frank you did it again. You just never stop,"" and then Frank turns around and like lays on his, lays on his back, looks sort of resigned and is like, ""Okay, let's go,"" and the scene, the scene cuts, and that's it.",1,31,88
8,"It opens up in this indoor scene. We see this sort of woman, early thirties, red hair, kind of sitting around with a pizza, preparing to eat dinner. When she hears the doorbell and receives a record, and she takes the record, puts it on her record player, starts playing for a little bit.",1,19,54
9,"When she hears the doorbell and receives a record, and she takes the record, puts it on her record player, starts playing for a little bit. This like cute, peaceful song starts playing, and I think like accidentally she like pushes around the needle of the record player and realizes that when she does that, her pizza turns,  and she does that a few more times and realizes that basically what's going on is that the needle is, as the needle moves onto the record, it's controlling time. She moves it a little bit, she moves it up and down and notices her pizza going up and down and then the candle, the red candle that's going up and down at the same time as the pizza.",1,36,128
10,"She moves it a little further and finds herself in a completely different home, much different, much tidier, kind of white, like fancy, like a fancy mirror, there's some fancy characters around. She's maybe a little bit older, wearing some fancier clothes, and she realizes that she's pregnant and kind of feels around her belly and again like just moves the, moves the needle on the, the record player is still there, still playing the music. She moves the needle a little bit and notices her belly expanding and contracting, and then, I'm trying to remember when it was by accident, but she, so she hits the needle one more time, ",1,32,112
11,,0,,0
12,"and this time she's a little bit older, and she's actually maybe like 50 or 60. She's got gray hair. The scene changes again, and I don't remember where exactly she is. She's also in a different home. The baby's kind of gone, and she's trying to, she starts to not like this, she's trying to reach out to the needle to push it back to where it was. She's in a cast, so her leg accidentally hits the record player, and the needle advances even further.",1,19,87
13,"Now she's even older. She's got a walking aid, one of those walking aids, I don't know what you call them in English, and she tries to, she tries to hurry to move towards the record player, because she realizes that the record is about to reach the end, and she doesn't get there on time, and then the record ends, and the scene cuts again, and we see her, she's disappearing inside an urn, a purple urn with a white cross on it, so she's gone, she's dead, and I think that's where the clip ends, and the music is still playing.",1,24,103
14,"Okay, now the third clip, I think, this is the one with this dysfunctional couple, so got this couple, this woman with a close camera angle talking to this guy at dinner and realizes this guy is her husband, and she is, we hear about how it's their wedding anniversary. I guess like, they're both pretty young, they're maybe like early thirties, clearly, clearly pretty frustrated even though it's like romantic. She has candles on and stuff.",1,31,77
15,"The scene is pretty dark, pretty gloomy like pretty blue colors, also this blue Keurig, and then what happens, oh right, he doesn't get the hint, he continues to say very lame things. He says that the asparagus is very tender. She tries to, she tries to lure him into, into possibly having sex by alluding to the fact that the asparagus is a good aphrodisiac, and the guy before doesn't get the hint.",1,20,74
16,"She clearly gets more frustrated with him as the evening progresses until she basically snaps and is like, ""Uch, you can't be so mechanical. You're not a surgeon. You're just a computer analyst.” I don't know, she seems like she's trying to get him to do something, to say something, to make her feel something.",1,14,55
17,"She still is super frustrated, so she goes towards him at some point, oh, before that though, he starts smoking. He lights up a cigarette, she gets really angry at this and like, gets up from the table, walks towards him and takes his cigarette and is like, ""You can't, you can't be smoking. It's not what I'm expecting from my wedding anniversary.” He doesn't care, he lights a second cigarette, and then finally she walks towards him and starts caressing his neck and the back of his head, ",1,24,90
18,"She still is super frustrated, so she goes towards him at some point, oh, before that though, he starts smoking. He doesn't care, he lights a second cigarette, and then finally she walks towards him and starts caressing his neck and the back of his head, ",1,14,47
19,"and we, the camera cuts back to the back, and we see her fingers as she finds a button that was at the back of her husband's neck, and she turns him off basically, and he stops talking. So we realize at this point that he's a robot, he's some sort of android, and she goes to the back, she goes to the room, and starts browsing on her Apple.",1,18,70
