events,transcript,recalled,recall_duration,recall_wordcount
1,"The first part was Catch Me If You Can game show with three contestants, who I guess are trying to compete for the part of somebody named Frank, Frank Williams Abagnale. The middle one is Leonardo DiCaprio, and I’m really bad with names, so I don’t know who the other two actors are. But they're introduced and then, the, the voiceover says something about the background of this Frank Williams, I don’t know if it’s Williams, Frank something Abagnale character about how he impersonated a bunch of different jobs, I think including something like a judge maybe or someone high up in court, maybe a surgeon, and something else, I don’t know, all, all pretty high positions. Anyways, the three people, who are all dressed as like navy captains or something like that, they move behind three different podiums, and they have a seat.",1,41,144
2,"And this woman starts asking them questions. The first question she asked the first contestant is something like, “Why, why did you try to go for all those professions?” And he’s like, “It comes down to dollars and cents. I guess those are the ways that I could make a lot of money.” And she goes to Leonardo DiCaprio’s character, and she says something about like, “How does it feel when you were finally caught?” And then he, he mentions the name of the person who caught him, Carl, Carl Hambur, Hamley, something like that.",1,24,95
3,"And then it cuts away to Tom Hanks, who is this Carl something character, who is wearing like gray raincoat and has an umbrella, and he’s outside, and he's getting rained on. And he, I think, is trying to get into the prison to see this Frank character.",1,16,48
4,"And so he’s, he’s taken in by like a policeman, and he’s shown to the cell where, where Frank is hidden away. We don’t see him at this point, but he’s shown like a little stool, and he’s told that he can sit there, that there is like this little doorway thing, which he isn’t allowed to pass anything through to the prisoner, but he can sit there and talk to him.",1,17,72
5,"And so the Tom Hanks character, Carl, I think, whatever, is sitting there, and then he brings out like this book, and I think he starts reading him something about like different articles, something that is clearly, I guess, relevant to his case or how he's gonna be tried or something. And now we see Frank like holed up in his little cell, with long straggly hair, really, really sick, like coughing a lot. His cough sounds really phlegmy and gross. So he’s coughing a ton, and the Tom Hanks character is sitting out front trying to read him through like these different articles. And at some point it like starts to like drizzle on him or something, so he takes out his umbrella, pulls it up, puts it on top of him and starts reading. And his cough gets really, really, really bad. And then eventually, and by his I mean Frank’s cough gets really, really bad. And then he like falls forward, and the Carl character says like, “Oh, somebody come, like we need help. We need to take him to a hospital.” ""I feel like he’s really sick.”",1,46,191
6,"And so they pull Frank out of the little cell and take him to like the hospital ward. And they're saying like they have to get him some treatment. They have to get him to America or something like that. They have to get him to America or something like that. And then the Carl character is saying something about how he worked really hard to get him here, and they can't lose him. And they're kind of conversing a while with the curtains pulled around Frank. And then the next time they check behind the curtains, he’s gone.",1,22,99
7,"And then the next scene we see is like Frank who is like coughing, still like coughing his lungs out, running very slowly, kind of stumbling through, trying to escape, going through like the prison with all of the other prisoners yelling like, “Frank, Frank, Frank.” And he's like stumbling, trying to get away. But then all of the, the other policeman and the detective or whoever, they are coming up behind him, obviously gonna catch up with him. But he's still trying to get away, and then he like drops down to the floor and tries to crawl away really slowly. But eventually they get to him, and he falls backward.",1,27,112
8,"So it starts with this, this was a cartoon, and starts with like this redheaded girl who’s in her little like apartment, and she has a box of pizza, and she opens it, and she gets out a slice, and then she’s gonna start to eat, but she gets some mail. And so she goes to her door, and opens the door and gets her mail out, then sits back on her seat and pulls out a record.",1,18,78
9,"It’s called A Single Life, and she puts the record on the record player and starts to play it. And then she's listening, she’s listening, and it kind of skips a little bit to a different song. And she notices that when it does that, her pizza kind of like disappears. Well it doesn’t disappear, but the slice in her hand goes down to like close to the crust. And then when she adjusts the, like the needle on the record player, it kind of grows back. And so she messes around with this for a bit, and she notices that she could make the bit of the pizza go up and then disappear again and come back up and disappear again. And so she starts messing around with the record player a bit more, and notices that she could make the entire pizza including like the bit in the box disappear and then come back, and disappear and then come back. So she skips around a little bit more.",1,34,170
10,"And then suddenly when she skips, she’s now in a completely different apartment. It’s like fancier and like all sleek and posh, and she's like well dressed, and she has a baby. Well, I mean, she’s pregnant, she doesn’t have a baby, but she's pregnant. And then she skips around with the needle again, but the, the record player’s always there in front of her. So she, she skips again, and then she’s no longer pregnant. And then she’s pregnant again, she's no longer pregnant. And then she decided to skip ahead until she already has a baby in her arms, and she's no longer pregnant. But then like the baby starts wailing and crying, and she's like, “I don’t wanna have anymore of this.”",1,25,125
11,"And so she skips again, and then she's like a little child, little like two-year-old or a toddler. Again, the record player is in front of her, but she's like in, you know, a child’s room.  And she's probably thinking like, “No, I don’t want this either,” and so she tries to skip ahead to the record again, but her little arms can barely reach it, but eventually she gets it.",1,15,72
12,"And she forces the record to skip again, and this time she’s an old lady, old lady in a wheelchair, and she’s probably thinking, “No, I don’t want this either.” And so she tries to move forward to make the record like kinda skip again to like a different track. But the record keeps jumping on its own, and every time it does that, it kind of moves her back in time, so she moves forward in her armchair, in her wheelchair, but then is forced to jump back in time. She does that a few bits, and it’s like she’s stuck in this loop. But eventually she gets it to, to skip ahead to like another track.",1,24,118
13,"And this time again she's an old lady in a walker, ",1,2,12
14,"So it’s this woman who’s sitting at a table across from her, I guess it’s her husband not her boyfriend, although I think the clip was called The Boyfriend, because he has the wedding ring. Anyway, they're sitting across from each other, and they're having dinner.",1,11,46
15,"And she asks him if he wants a glass of wine, and he's like, something like, “No, I’m on call tomorrow,” or “I’m on call,” or something like that, so he can't have wine. So she pours herself a glass of wine, and she downs the whole thing really quickly while looking at him and then pours herself some more wine. And then he's eating kind of methodically, kind of robotically, and she's looking at him. And then I think she asks him something about how he likes the dinner or something, and he's like, “It’s really good. The asparagus is quite tender.” And she's like, “Yeah, they say it’s an aphrodisiac,” and he's like, “Who’s they?” And she's like, “I don’t know, just something they say.” Anyways, they are talking a little bit. I don’t remember what else they talk about specifically, but she's obviously getting really annoyed with him.  Oh, I forgot to mention it’s her anniversary, that’s why they were having this dinner. And I think part of the earlier complaint was something about like, “Oh, it’s our anniversary. Can't you just have a drink?”",1,40,189
16,"She's like, you know, “Why can't you just like have a drink?” ""It’s not like you're a surgeon, you're like a computer analyst, or something like that.” ""Just have a drink.” And then she throws some, like part of her wine on him.",1,8,43
17,"And then he takes out a cigarette, puts it in his mouth, lights it. And she's like, “Oh no, you're not smoking in my house.” And I guess she somehow puts out the cigarette, I don’t remember how. But then he puts another in, and he lights it. And she's getting like really, really annoyed.",1,13,55
18,"And I don’t remember the next few details, but eventually she like, she goes up to him, and we find that he has like a switch in the back of his neck, which she turns off, and he like, you know, stops functioning, because apparently he’s like a robot.",1,12,49
19,"And I don’t remember the next few details, but eventually she like, she goes up to him, and we find that he has like a switch in the back of his neck, which she turns off, and he like, you know, stops functioning, because apparently he’s like a robot. And she thinks, probably, she probably thinks to herself, “Well I can do better than this.”",1,16,65
20,"And so she goes to her computer and she logs on to this website where you can buy your robotic boyfriend, husband. So she sits down, and she's like browsing all the better options that she could get. So she finds like a later model that is probably better, and this guy who is like a rock climber or something like that. And she calls up and says that she's like not happy with her current model, and she’d kind of like an upgrade. And they're like, “What’s your complaint?” And she's like, “You know, he's like lacking ambition,” and they're like, “Yeah we get this complaint a lot with that series.” ""What can I offer you? Like some other, like higher-end model?” And she's like, “Yeah, I think so.” And they're like, “What would you like?” and she’s like, “I don’t know, maybe a rock climber.” And then she like clicks through, and she’s like, she sees like a masseuse, and she's like, “No wait, maybe a masseuse or a rock-climbing masseuse.” ",1,36,174
21,"And then she gets a delivery later of her new robotic boyfriend, husband person. And then they're taking away her old one, but she, she takes the wedding ring off the old one and puts it on the new one. And the new one is like this all outdoorsy type guy, who is now carted in and put in the same seat where her old robotic husband boyfriend person was. And she sits down across from him on the table, after she turns on the switch of course.",1,25,88
22,"And then he's kind of slow getting started, a little bit methodical.  But then he like you know, comes to life. And she asks him if he wants a drink. And he's like, “No, I can't. I have a, I have a climb tomorrow.” And she's probably thinking like, “Oh no, here we go again.” Then he takes a bite of his asparagus, and he's like, “Mmm, this is tender.” And then she's probably thinking at this point like, “I can't believe he's having this, we’re having this conversation again.” But then he looks up at her, and he's like, “They say its an aphrodisiac.” And she's like happy now, smiling a little bit and says, “Who’s they?” And she's like happy now, smiling a little bit and says, “Who’s they?”",1,30,132
23,"And then he gets up and goes around the long table to her and stands behind her, and is like, “How was your day?” And she's like, “Oh,” ‘cause she’s like obviously happy to be having this conversation, pleased with her new purchase. And she's like, “Oh, this morning, I was like, I went into the shop to get some stuff to get ready for tonight.” Anyway, they're back to the current moment. She’s like, yeah, she went shopping to get stuff for tonight. And he's like massaging her shoulders as she's talking. And she's clearly very pleased with the massage. He keeps on massaging her, and she's talking, and then his hands get closer and closer to her neck. And then we find that he switches her off.",1,30,129
