events,transcript,recalled,recall_duration,recall_wordcount
1,"And it opens and there's kind of like a game show. And I think the game show, it's supposed to be the kind of game show where there's three people and one of them is really the famous figure and they're going to ask him questions. And it's number 2 and it's Leonardo di Caprio, he's this famous con artist.",1,12,60
2,"They ask the first guy a question, they ask the second guy a question, which I think is, who finally caught you as being a con artist? He starts to answer and it starts to go into his memory.",1,7,39
3,"And it's Tom Hanks who's the investigator guy and he showed up at a prison, I think it's a German prison or something, to try to extradite the con artist. And he's having a hard time, he's standing in the rain with his umbrella and talking to the German prison people and having a really hard time making himself understood and speaking slowly. He's got kind of a funny, maybe, Southern accent, some kind of a funny accent, Tom Hanks does.  ",1,18,83
4,"And he finally goes in and he gets to see Leonardo di Caprio. And it's through, he's in this little cell and it's really dingy and it's dripping.",1,7,28
5,"Tom Hanks gets under his umbrella to shield himself from the dripping from the ceiling, which is a funny moment. And he's trying to read him something through this little window into his cell. And he's all coughing and miserable and sick and bedraggled with long beard and hair and dirty, with a blanket. Tom Hanks is having none of it, he thinks he's conning him, he's not really sick, but eventually he just starts acting sicker and sicker and collapses. And he calls for a doctor and gets him to get the guy out and take him to the little prison infirmary and they drop him on the bed in the prison infirmary.",1,27,114
6,"And he calls for a doctor and gets him to get the guy out and take him to the little prison infirmary and they drop him on the bed in the prison infirmary. And then they go out and they're talking, they leave him by himself on the bed with the sort of curtain around the bed. They're talking about something and then they hear, you hear the door kind of close and they notice that he's gone, he's escaped from the bed.",1,17,83
7,And the scene switches to Leonardo kind of obviously still sick legitimately sick but hobbling and stumbling down some prison hallway and the prisoners are all cheering. And they catch him and put a gun to his head and he collapses himself backwards on the floor and surrenders.,1,13,48
8,"and it was of a girl and she had a box of pizza. And she was in her room, she looked like she was, I don't know, like a young adult kind of a woman, maybe like in her 20s or something like that. And an envelope shows up at her door and in the envelope is a record.",1,9,59
9,"She puts the record on the record player and starts playing it. Uh, trying to remember the song of the record, it was like story of life or something like that. And as it was playing, the pizza was shrinking. She was eating the pizza but then it was shrinking. And she pushes the record back and forth and notices that she can make the pizza appear and disappear as she pushes the record back and forth. This record is like transporting her forward and back through time. So she pushes it forward and sees her whole pizza disappear, pushes it backwards, sees her whole pizza reappear again.",1,24,108
10,"So she puts it forward and she is a slightly older woman and she's pregnant. She's putting the record back and forth and her belly is getting bigger and smaller and bigger and smaller as she's pushing the record back and forth. And then she skips it forward a little bit more and she's standing there holding a baby. And she picks it up and pushes it way back, and she herself is now like a toddler holding a baby doll.",1,14,81
11,"And she picks it up and pushes it way back, and she herself is now like a toddler holding a baby doll. And she toddles over to it, and pushes it forward and now she's old and she's in a wheelchair.",1,7,41
12,"And she toddles over to it, and pushes it forward and now she's old and she's in a wheelchair. And this one's kind of funny because she's trying to get over to it in her wheelchair but the record keeps skipping. Whenever it skips she gets reset so she'll wheel towards it, the record will skip, and so she'll jump back, wheel towards it, the record will skip, she'll jump back.",1,10,71
13,"And she makes it, there's one more, I think she's old again in a walker and she's trying to get to it. This one's kind of sad because she's racing towards it, her walker, she's not moving very fast and she can't get to it and it ends, the record ends, she plop becomes an urn sitting on the floor, and that's the end of that little clip.",1,14,68
14,"I think it was called High Maintenance or something like that. And in the robot boyfriend story there's a couple, they're at dinner, and there's not a lot of conversation happening, they're not that happy. The lady, the girl tries to pour the guy some wine and he refuses the wine and they're still not talking, and it's a very awkward, sort of those long, long tables, and they're very far away from each other.",1,15,75
15,He says he can't have wine because he's on call.,1,1,10
16,"She's complaining about what a boring guy he is. He's definitely, his characterization is that he is a pretty boring guy.",1,4,21
17,"So she snaps and she complains, she says it's not, today is their anniversary, this is not how I wanted to spend my anniversary right here with this boring guy, I think mechanical slow sex.",1,7,35
18,And so she goes up to him and she apologizes and says I didn't mean it.,1,2,16
19,And she reaches a switch on the back of his neck and she turns him off. He's turned off there at the table.,1,3,23
20,"She goes to her computer, she's on like an online catalogue of robot boyfriends and she finds a much better robot boyfriend. She calls the robot company and says I'm not satisfied with my robot boyfriend, he's really boring, he's got no sense of adventure, so I'd like an upgrade, an upgraded one. So she orders an upgraded one, who's like a rock climber masseuse or something like that.",1,16,69
21,"The new one shows up, the old one goes away.",1,2,10
22,"Then they're back, they're sitting at dinner with the new robot boyfriend. Then they're back, they're sitting at dinner with the new robot boyfriend.",1,9,24
23,And he goes over and he's giving her a massage and he turns her off.,1,2,15
24,"And then he goes over to the TV and it ends with him smoking a cigarette, drinking a beer, eating chips, and watching football on the television or something.",1,5,29
25,,0,,0
26,,0,,0
27,,0,,0
28,,0,,0
29,,0,,0
30,"There's a colorful stick figure guy who shows up at a building full of stick figures, and the stick figure guy goes to work and he thinks he's going to get a promotion and he goes up, he gets into the elevator. And he gets into the elevator and he goes to the floor where his love interest, which is the pink stick figure, is. And he offers his love interest, the pink stick figure, a cup of coffee. He's obviously not being very successful with his love interest. She doesn't want a cup of coffee. She drops it out the window and it lands on a window washer guy who falls down the window.",1,18,115
31,,0,,0
32,"Then our stick figure guy gets back in the elevator and heads up to the boss' office, anticipating his promotion. And he gets to the boss' office just as green stick figure is walking out. And the green stick figure is walking very confidently and happily because he's been given the promotion blue stick figure guy was supposed to get. The blue stick figure guy, he goes into the office and he's told that he doesn't get his promotion. Meanwhile, green stick figure is down with pink love interest stick figure and they're kissing down there. And blue stick figure guy is dejected, he doesn't get his promotion, he goes out, he goes down to the floor where the pink stick figure is and he sees them.",1,24,127
33,"And he is miserable, because he didn't get his promotion and his love interest is now kissing this other guy and everything is awful in his life. And green stick figure guy comes into the elevator, into the elevator with him and they get into a fight and the blue stick figure murders the green stick figure. That was not what he was intending to do, but he does.",1,15,69
