events,transcript,recalled,recall_duration,recall_wordcount
1,"Okay, so the first movie was Catch me if you can with Leonardo di Caprio and it starts with 3, with a like a TV show, a game show I guess, with 3 men, all of them wearing the same clothes and kind of like a briefcase, and Leonardo di Caprio's in the middle. And I guess the premise is that they are all 3 they are con men, and they go by the same name, they are Frank something Abagnale. And they have different professions and lead different lives but they're all the same man.",1,31,96
2,"And so in this talk show I guess, this woman is asking them questions, and she asks the first man, why, you know being as smart as he is, why he chose to be a con man, and he answered, the answer was about the money. The second question was to the second man, the man in the middle, Leonardo di Caprio, um, and the question was who caught you? And the answer was he gave the name, I don't remember, and then they flashbacked to that, I guess, cop telling some other people, and I think it's raining, um, that he is this man like he's telling other people who he is.",1,38,113
3,"And the answer was he gave the name, I don't remember, and then they flashbacked to that, I guess, cop telling some other people, and I think it's raining, um, that he is this man like he's telling other people who he is. I think this was in France, 1969 or something like that, and telling them who he is and he keeps repeating his name. I guess because of his credentials, and um he needs to see Frank Abagnale.",1,27,80
4,"And so he, they let him, and they're very strict about what he can do in this tiny room that is not very good looking, and I guess Frank is in solitary confinement and he's in a cell, and he's coughing, and he's so sick.",1,15,45
5,"And so he, they let him, and they're very strict about what he can do in this tiny room that is not very good looking, and I guess Frank is in solitary confinement and he's in a cell, and he's coughing, and he's so sick. And I guess the cop person wants to take him back to the United States for some reason and he's reading this document to him, I guess it's something legal, and Frank is just coughing and coughing and coughing and then he passes out. And the cop freaks out and says you need to call the cops. Also he's carrying an umbrella because it's dripping in this cell place.",1,37,114
6,"Um and they call the doctor or whatever, not really the doctor actually, but they take him to the hospital and then they want to leave him there overnight. The cop is like what are you guys doing? And they're washing their hands and they're like oh the doctor comes in the morning, or something like that, and then, and then they see, and he's so upset because he needs to take him back home he says to the United States soon and he's so sick. And then they see that he has escaped that room, except they chase after him and he can't go very fast because he's so sick, so he's like actually just crawling and coughing his way out.",1,30,122
7,"And then they see that he has escaped that room, except they chase after him and he can't go very fast because he's so sick, so he's like actually just crawling and coughing his way out. And I guess the cop grabs him by the hair and he just passes out, facing up, and actually kind of smiles. I think, I mean he knows he's done.",1,17,66
8,"Um and so this red-headed cartoon character sits on the couch, sits on this chair, and opens this envelope that has this uh what's it called, vinyl music, this disc, and she also has this slice of pizza in her hand.",1,16,41
9,"So she's going to eat this pizza but then, plays the music, but then notices that as the music goes on, her pizza gets eaten. And then she realizes that she can play, she can play with time through this disc. So she does. So she goes forward in time, she goes back and forth, back and forth, back and forth, kind of like short range, so kind of like, I don't know, within the same day, like her pizza gets eaten and then comes back and then eaten and comes back and then eaten and then come back.",1,23,99
10,"But then she goes to later age, so she becomes like pregnant, and then she has a baby.",1,7,18
11,"And she can keep going back and forth, and then she becomes like older and then she's on a wheelchair and then she becomes younger and she has a doll in her hand, and she's like a kid.",1,8,38
12,"And she can keep going back and forth, and then she becomes like older and then she's on a wheelchair and then she becomes younger and she has a doll in her hand, and she's like a kid.",1,8,38
13,"And then, she pushes it so far that she's dead.",1,2,10
14,"Okay so there's this, it starts with something about ambition, I don't know why it said ambitious on the screen, it said it, in text, but anyway, this woman and this man are at the dinner table and they're like wealthy, I don't know, they're having this fancy dinner, the kind of dinner that like one of them is on one side of the long table and the other on the other, and they're eating like asparagus and you can hear like the click, like the clicking of the like fork and knife as they cut their food.",1,24,98
15,"And they're being very like formal, and they're referring to each other as dear and it's their anniversary. And she's clearly very, well she's very upset because she wants to pour him wine, and he can't because he's on call. I guess he's a doctor or something. And then he's like you know I can't drink when I'm on call, and she's so upset and she just chugs her wine and then pours herself another glass, and she's so disappointed in him, and he is like, the asparagus is so tender, dear. And she's like yeah, it's an aphrodisiac, and he's like, why do you say that, and she's like, well that's just what people say.",1,30,116
16,"And he's like oh, and she's sooo angry at him because I guess she wants to have sex, and he's so cold or something. And then she's like, she like pours her water glass on his face, and he's so angry and he starts smoking.",1,13,45
17,"And then she's like, she like pours her water glass on his face, and he's so angry and he starts smoking. She also, she's like uh just like I don't even know why you can't drink, going from stupid dinner to stupid conversation, stilted conversation, if I'm lucky, to make short mechanical sex,  which ended up being interesting, because, well that's when he starts smoking and she's so upset, she's like you do NOT smoke in my house, and puts out his cigarette.But he lights another one.",1,26,88
18,"And she's so angry, but then she goes over to him, and she's like I'm so sorry for what I said, probably referring to the sex comment, I'm so sorry I didn't mean it, and she's massaging his head, caressing his head, and then, turns him off.",1,9,47
19,"And she's so angry, but then she goes over to him, and she's like I'm so sorry for what I said, probably referring to the sex comment, I'm so sorry I didn't mean it, and she's massaging his head, caressing his head, and then, turns him off. Okay, so he's a robot, so that's weird. And then she goes, like just lets go and like just puts her feet on the dinner table.",1,16,73
20,"And then actually goes online, or to her computer, and actually checks out another robot. So now she's thinking about getting another robot, and this one is clearly just like not as um I don't know, formal-looking as the last one. Um I don't know if his name was Paul or something, anyways, she calls this company, robot company, and she's like oh I'm not satisfied with my current product. And they're like oh I'm so sorry, what's the problem, she's like, oh I don't remember what she said but I don't remember what she said, but it was something like he lacks a sense of adventure or something. And they're like, oh yeah that's a common problem or fault or with that model. Uh so do you want an upgrade to a different model? And she's like yes please. Ok well do you know what you want? And she's like I want a, somebody with a sense of adventure, right?Like a rock climber or a masseuse, ooh can it be a rock-climbing masseuse? And they're like yeah yeah no problem.",1,49,181
