events,transcript,recalled,recall_duration,recall_wordcount
1,"The first movie that I remember is um the Aviator movie and the beginning there was a game show with three men who claimed they their name is Jack, I forget the name of the character, but three con men. They, uh, before the age of 19, they were some government official for Georgia, an aviator for a plane, and something to do with a hospital.",1,25,66
2,,0,,0
3,"And then it goes to a guy named Carl who works with the FBI and he goes to the center, which the guy...maybe Jack...is being held and he tries to talk to Jack through a little tiny hole in the wall that is open.",1,11,44
4,"And then it goes to a guy named Carl who works with the FBI and he goes to the center, which the guy...maybe Jack...is being held and he tries to talk to Jack through a little tiny hole in the wall that is open. I think he has some sort of history with Jack, I'm not sure if he was trying to find out information or what.",1,14,67
5,"Jack is being held in a really severe punishment system,  so Jack pretends to faint, or pretends to get really, really sick and Carl's trying to talk to him and Carl screams for an ambulance or for a doctor so that the other guys come and they bring him to the hospital, ",1,16,54
6,"but then, yeah, all the men put him on the bed and they start washing their hands and Carl said `what are you doing' and the guy said that the doctor is coming the next day and they see that the door to the hospital room just closed, so they follow the route and they see that Jack, or whoever the man's name is has left the room, he's not in his bed anymore, and they run after him and they find him crawling on the floor of the prison,  I remember when he's leaving the hospital room, Carl said ""Oh Jack"" kinda like he knows that it's very much like Jack who's the con man, he's able to get himself out of a lot of situations by acting a certain way.",1,31,133
7,"so they follow the route and they see that Jack, or whoever the man's name is has left the room, he's not in his bed anymore, and they run after him and they find him crawling on the floor of the prison, a bunch of angry and enthusiastic prison men are screaming batting their cages while he's crawling around the floor and then the FBI men walk fastly towards him and one of them puts a gun to Jack's head,  and Jack goes on the ground and kind of puts his hands and arms out, kind of like he surrenders.",1,29,101
8,"It was a girl, and when she was a young adult, she had red hair, orange hair, and she started eating a pizza and she put a record on and the record of a girl's voice,",1,8,36
9,"It was a girl, and when she was a young adult, she had red hair, orange hair, and she started eating a pizza and she put a record on and the record of a girl's voice, and when she was moving the place in the record in the song, whatever that part of the record player is called, she noticed that the pizza is disappearing, and depending on where the record was in its cycle, the pizza was appearing and disappearing. And then scene goes to the box of pizza, the entire pizza is disappearing and reappearing.",1,26,97
10,"Then she jumps on the record to different points and the next point that she jumps to is to the time in her life where she's already married because there's a picture frame in the wall of her in a wedding veil and she's pregnant. She looks down at stomach and she's playing around with the record to see her stomach grow and shrink and then she skips to when she was a baby herself and she has a doll in her hand and a playpen there, ",1,19,88
