events,transcript,recalled,recall_duration,recall_wordcount
1,"And there were three imposters that were coming into the talk show and they were asking them questions concerning um what they did, because they were conman artists, and his name was, all of the three were named like William Frank something.",1,12,42
2,"And for the first one they asked him: oh why did he choose to do that even though he was talented? And he told them basically that that was the easiest way for him to make the money that he wanted to. And for the second person - who was Leonardo DiCaprio - they asked him: who caught him? And he said, um, Carl, har- some weird last name like carrot, v, and then it flashed back to the situation he was in the jail.",1,20,85
3,"Um and I guess in another land, so it was not in the US, and the FBI agent Carl, he came to um, try to bring him back to the US, to US land, and he tried.",1,8,37
4,,0,,0
5,"And he said, um, Carl, har- some weird last name like carrot, v, and then it flashed back to the situation he was in the jail. He was really sick so the Carl guy told the officers there to take him to the doctor's office but while they were at the doctor's office the officers didn't want to bring him a nurse.",1,16,62
6,He was really sick so the Carl guy told the officers there to take him to the doctor's office but while they were at the doctor's office the officers didn't want to bring him a nurse. While they were talking and washing their hands um the William Frank guy - the conman artist - he tried to escape but he was really sick so they caught him and that's when that one ended.,1,19,73
7,While they were talking and washing their hands um the William Frank guy - the conman artist - he tried to escape but he was really sick so they caught him and that's when that one ended.,1,9,37
8,"So it's like a cartoon and then the girl was trying to eat a pizza slice but then she hears the doorbell. And then she gets this record, or maybe it was called ""The Record.”",1,9,35
9,"She gets the record and then she plays it but then she realizes that her pizza's gone. And then she realizes that the record actually forwards or rewinds her life, so she plays around with it.",1,10,36
10,"And ends up being like an adult, pregnant, and then she goes back and is not pregnant, goes back and is pregnant, and then she forwards and has the kid in her hands - the baby in her hands.",1,10,39
11,"And then um she goes backwards accidentally as a little kid and then she goes forward and is like, old.",1,6,20
12,"And then um she goes backwards accidentally as a little kid and then she goes forward and is like, old. Um but then she's like old and is on a kind of wheelchair and has like a cast on her leg. So she can't really touch the record so that she can go backward. So she keeps going back and forth and gets upset.",1,19,64
13,"And then she um, and so, forwarding to being like, old, I guess, in a home, and then basically, then I think she tries to go back but she cannot. And so it just forwards and it just shows her that she died and shows her in the, just her like remains.",1,14,52
14,"But basically it's like a husband and wife together and just like their anniversary. But they don't look very happy, and they're just eating and the wife offers him some wine but he doesn't want to.",1,11,36
15,"And uh, she ends up drinking like most of the wine. And then she gets really upset, but before she gets upset, she's, he kind of says, ""oh, the asparagus is tender.” And she tells him, ""oh it's - most people say it's an aphrodisiac.” Well she says it's an aphrodisiac and he asks, ""oh who says that?” She says, ""oh, I think most people.""",1,17,65
16,"And she gets upset because she says, ""oh, but you're just a computer analyst."" But then she just sits there and then she gets really upset and throws the wine at him.",1,5,32
17,"And then he just starts smoking. She gets upset and takes the cigarette and tries to turn it off. But then he takes another cigarette and starts smoking. And so, um, then she said something really mean about him.",1,9,39
18,"And then she goes over to him and hugs him but then she goes behind him and turns him, turns him off.",1,5,22
19,"And then she goes over to him and hugs him but then she goes behind him and turns him, turns him off. So we find out that he's just like a robot.",1,7,32
20,"And then, she goes back to her computer while he's like, off, so he's not functioning anymore, and she's looking up another like, to get a new husband, a new robot husband.  But while she was doing that we see the picture of like, her being married to the other one. So then she wants like a sportier, like, like more like, spontaneous robot. So she calls and say her current model has malfunctioned, um he has no ambition, um and so they say, ""oh, usually that model is like that.” And so then, they ask her which one does she want, and she told them, oh like a masseuse, or rock climber, and then she wants both, with short hair.",1,36,122
21,"So then we see the people from the robot company - I think it was like ""premateurs"" or something like that - and they come with a new model, and then they take her old model away. And then she looks like she's a little sad so then she runs to the old model - to her original husband - she runs over to him, kisses him, and then she sits down again with her new model, with her new robot husband. Meanwhile she had already taken the ring off of her old husband - robot husband - and placed it on the new one and then turns him on.",1,24,110
22,"And so they're sitting there, eating, and um she offers him wine and he says, ""no, I have a big rock climb in the morning,"" and then she looks a little sad. But then he says that the asparagus is tender and that people say that it's an aphrodisiac. So she gets happy because that's something she said before.",1,14,59
23,"Um and then he goes over and gives her a massage. And then she's very happy, but then he ends up turning her off, so then we find out that she was a robot, too.",1,6,35
24,So then he leaves her there and goes over and sits down on the couch with a cigarette and starts watching like sports.,1,5,23
25,"So, there's this guy and first he starts off with just a shoe - he's tapping his shoe.",1,4,18
26,"And then, you see his, him drinking milk, checking his milk. He's going to drink his milk. And then, he sees a girl across the street, um, he seems to like her. And so, he leans on the car that he's at, but it ends up not being his car. So then the owner comes and is like, upset, and so he just leaves the car, and starts walking across the street from the girl.",1,20,75
27,"And starts like, doing different body movements, and she's copying the same body movements. And like he'll put the - he put up the - milk carton, and she like did the same body movement. Um, bent down, she did the same body movement. So they were like mimicking each other the whole time. But then, he gets to the corner of the street, and like she stops and starts waving to tell him to stop because the car is coming. But he doesn't register it as: there's an actual danger, but as: oh, she's still playing with me.",1,24,99
28,"So then the car ends up hitting him, like really hard. And then the car ends up roll- like flying in the air. And in the end, all you see is like, one shoe, and then the other shoe really squashed. And, uh, the girl is like very surprised. ",1,12,50
29,"And um, so basically, it's like stick figures, and he's like driving his car to his job and - you see all the levels of the company at the same time, he like walks in.",1,9,35
30,"And um, so basically, it's like stick figures, and he's like driving his car to his job and - you see all the levels of the company at the same time, he like walks in. He's very excited because he thinks he's going to get a promotion. He walks upstairs um, to where his dream girl, his crush is. And he always offers her coffee, but she never wants it, uh and then he goes up, to actually talk to his boss, but there's somebody else there.",1,24,87
31,"Well beforehand, before the whole thing started, something had fallen off the window. I think at the beginning and they called an ambulance.",1,5,23
32,"And he always offers her coffee, but she never wants it, uh and then he goes up, to actually talk to his boss, but there's somebody else there. I forgot his name - I think Patrick - Patrick's already there and they're shaking hands, and he leaves and then so he goes in to talk to his boss. But he says the handshake, well he doesn't say it - there's a narrator the whole time - but the narrator says that the handshake is like, was not as strong as he thought it would be. And then, he didn't get the promotion he wanted to, actually the promotion was given to Patrick. Meanwhile Patrick goes to the floor where Sarah is - the dream girl - the Reynolds', Keith Reynolds' dream girl. And he tells her about the promotion and then they're very happy, hugging and kissing. And so then Keith leaves very sad, and he goes down the elevator to the floor where Sarah is, sees them together.",1,42,169
33,"And it says that the door, elevator door, was open longer than usual. And so, then Patrick comes in. And then they go up some floors and then Patrick comes, was gonna come out, but then Keith said some bad words, I guess some three-letter words, he didn't want to say. And then Patrick gets upset, and punches him in the face. So then Keith gets upset and starts hitting him and then ends up killing him.",1,24,77
34,"And so he has to now dispose of the body to get home, I guess. And then he takes it out of the elevator and is going to down the stairs with it. Meanwhile there's another lady who works there, who likes to go to the seventh floor bathroom because for some reason she likes the soap dispenser there. But she has some New Year's resolution to take the stairs so she starts going up the stairs. So then as he's going down the stairs, she took, the lady who's going to the seventh floor bathroom, ends up seeing Keith carrying Patrick's dead body. And she like, gets really surprised, like shocked, and she faints, falls off the stairs, and cracks her neck I guess. Weird thing, and dies.",1,35,129
