participant_id,event_number,peripheral_id,score
sub-16,2,P1,0
sub-16,2,P2,0
sub-16,2,P3,0
sub-16,2,P4,0
sub-16,2,P5,0
sub-16,2,P6,0
sub-16,2,P7,0
sub-16,2,P8,0
sub-16,2,P9,0
sub-16,2,P10,0
sub-16,2,P11,0
sub-16,2,P12,0
sub-16,3,P1,0
sub-16,3,P2,0
sub-16,3,P3,0
sub-16,3,P4,0
sub-16,3,P5,0
sub-16,5,P1,0
sub-16,5,P2,0
sub-16,5,P3,0
sub-16,5,P4,0
sub-16,5,P5,0
sub-16,5,P6,0
sub-16,7,P1,0
sub-16,7,P2,0
sub-16,7,P3,0
sub-16,7,P4,0
sub-16,7,P5,0
sub-16,7,P6,0
sub-16,8,P1,0
sub-16,8,P2,0
sub-16,8,P3,0
sub-16,8,P4,0
sub-16,8,P5,0
sub-16,9,P1,0
sub-16,9,P2,0
sub-16,9,P3,0
sub-16,9,P4,0
sub-16,9,P5,0
sub-16,11,P1,0
sub-16,11,P2,0
sub-16,11,P3,0
sub-16,11,P4,0
sub-16,11,P5,0
sub-16,13,P1,0
sub-16,13,P2,0
sub-16,13,P3,0
sub-16,13,P4,2
sub-16,13,P5,0
sub-16,13,P6,0
sub-16,13,P7,0
sub-16,13,P8,0
sub-16,14,P1,0
sub-16,14,P2,0
sub-16,14,P3,0
sub-16,14,P4,0
sub-16,14,P5,0
sub-16,14,P6,0
sub-16,14,P7,0
sub-16,15,P1,0
sub-16,15,P2,0
sub-16,15,P3,0
sub-16,15,P4,0
sub-16,15,P5,1
sub-16,15,P6,0
sub-16,15,P7,0
sub-16,15,P8,1
sub-16,15,P9,0
sub-16,15,P10,0
sub-16,15,P11,0
sub-16,16,P1,0
sub-16,16,P2,1
sub-16,16,P3,0
sub-16,16,P4,1
sub-16,16,P5,0
sub-16,16,P6,0
sub-16,16,P7,1
sub-16,16,P8,0
sub-16,18,P1,0
sub-16,18,P2,0
sub-16,18,P3,1
sub-16,19,P1,0
sub-16,19,P2,0
sub-16,19,P3,0
sub-16,19,P4,0
sub-16,19,P5,0
sub-16,19,P6,0
sub-16,19,P7,0
sub-16,19,P8,0
sub-16,19,P9,0
sub-16,19,P10,2
sub-16,19,P11,0
sub-16,19,P12,0
sub-16,19,P13,0
sub-16,21,P1,0
sub-16,21,P2,0
sub-16,21,P3,0
sub-16,21,P4,0
sub-16,21,P5,0
sub-16,21,P6,0
sub-16,22,P1,0
sub-16,22,P2,0
sub-16,22,P3,0
sub-16,22,P4,0
sub-16,22,P5,0
sub-16,22,P6,0
sub-16,22,P7,0
sub-16,23,P1,0
sub-16,23,P2,0
sub-16,23,P3,0
sub-16,23,P4,0
sub-16,23,P5,0
sub-16,23,P6,0
sub-16,23,P7,0
sub-16,24,P1,0
sub-16,24,P2,0
sub-16,24,P3,0
sub-16,24,P4,0
sub-16,24,P5,0
sub-16,24,P6,0
sub-16,24,P7,0
sub-16,25,P1,0
sub-16,25,P2,0
sub-16,25,P3,0
sub-16,25,P4,0
sub-16,25,P5,0
sub-16,25,P6,0
sub-16,25,P7,0
sub-16,25,P8,0
sub-16,25,P9,0
sub-16,27,P1,2
sub-16,27,P2,0
sub-16,27,P3,0
sub-16,27,P4,0
sub-16,27,P5,0
sub-16,27,P6,0
sub-16,27,P7,0
sub-16,27,P8,2
sub-16,27,P9,0
sub-16,27,P10,0
sub-16,30,P1,0
