participant_id,event_number,peripheral_id,score
sub-07,2,P1,0
sub-07,2,P2,0
sub-07,2,P3,0
sub-07,2,P4,0
sub-07,2,P5,0
sub-07,2,P6,0
sub-07,2,P7,0
sub-07,2,P8,0
sub-07,2,P9,0
sub-07,2,P10,0
sub-07,2,P11,0
sub-07,2,P12,0
sub-07,3,P1,0
sub-07,3,P2,0
sub-07,3,P3,0
sub-07,3,P4,0
sub-07,3,P5,2
sub-07,5,P1,0
sub-07,5,P2,0
sub-07,5,P3,0
sub-07,5,P4,1
sub-07,5,P5,0
sub-07,5,P6,0
sub-07,7,P1,0
sub-07,7,P2,0
sub-07,7,P3,0
sub-07,7,P4,0
sub-07,7,P5,0
sub-07,7,P6,0
sub-07,8,P1,0
sub-07,8,P2,1
sub-07,8,P3,0
sub-07,8,P4,0
sub-07,8,P5,0
sub-07,9,P1,0
sub-07,9,P2,0
sub-07,9,P3,0
sub-07,9,P4,0
sub-07,9,P5,0
sub-07,10,P1,0
sub-07,10,P2,0
sub-07,10,P3,0
sub-07,10,P4,0
sub-07,10,P5,1
sub-07,11,P1,0
sub-07,11,P2,0
sub-07,11,P3,0
sub-07,11,P4,0
sub-07,11,P5,0
sub-07,12,P1,0
sub-07,12,P2,0
sub-07,12,P3,0
sub-07,12,P4,0
sub-07,12,P5,0
sub-07,12,P6,0
sub-07,14,P1,0
sub-07,14,P2,0
sub-07,14,P3,0
sub-07,14,P4,0
sub-07,14,P5,0
sub-07,14,P6,0
sub-07,14,P7,0
sub-07,15,P1,0
sub-07,15,P2,0
sub-07,15,P3,0
sub-07,15,P4,0
sub-07,15,P5,0
sub-07,15,P6,0
sub-07,15,P7,0
sub-07,15,P8,0
sub-07,15,P9,0
sub-07,15,P10,0
sub-07,15,P11,0
sub-07,16,P1,0
sub-07,16,P2,0
sub-07,16,P3,0
sub-07,16,P4,1
sub-07,16,P5,0
sub-07,16,P6,0
sub-07,16,P7,0
sub-07,16,P8,0
sub-07,19,P1,0
sub-07,19,P2,0
sub-07,19,P3,0
sub-07,19,P4,0
sub-07,19,P5,0
sub-07,19,P6,0
sub-07,19,P7,0
sub-07,19,P8,0
sub-07,19,P9,2
sub-07,19,P10,0
sub-07,19,P11,0
sub-07,19,P12,0
sub-07,19,P13,0
sub-07,22,P1,0
sub-07,22,P2,0
sub-07,22,P3,0
sub-07,22,P4,0
sub-07,22,P5,0
sub-07,22,P6,0
sub-07,22,P7,0
sub-07,23,P1,0
sub-07,23,P2,0
sub-07,23,P3,0
sub-07,23,P4,0
sub-07,23,P5,0
sub-07,23,P6,0
sub-07,23,P7,0
sub-07,24,P1,0
sub-07,24,P2,0
sub-07,24,P3,0
sub-07,24,P4,0
sub-07,24,P5,0
sub-07,24,P6,0
sub-07,24,P7,0
sub-07,27,P1,0
sub-07,27,P2,0
sub-07,27,P3,0
sub-07,27,P4,0
sub-07,27,P5,0
sub-07,27,P6,0
sub-07,27,P7,0
sub-07,27,P8,0
sub-07,27,P9,0
sub-07,27,P10,0
sub-07,30,P1,0
sub-07,30,P2,0
sub-07,30,P3,0
sub-07,30,P4,2
sub-07,30,P5,0
sub-07,30,P6,0
sub-07,30,P7,0
sub-07,30,P8,0
sub-07,31,P1,0
sub-07,31,P2,0
sub-07,31,P3,0
sub-07,31,P4,0
sub-07,31,P5,0
sub-07,31,P6,0
sub-07,31,P7,0
sub-07,33,P1,0
sub-07,33,P2,2
sub-07,33,P3,0
sub-07,33,P4,0
sub-07,33,P5,0
sub-07,33,P6,0
sub-07,33,P7,0
sub-07,33,P8,0
sub-07,33,P9,0
sub-07,36,P1,0
sub-07,36,P2,0
sub-07,36,P3,0
sub-07,36,P4,0
sub-07,36,P5,0
sub-07,36,P6,0
sub-07,36,P7,0
sub-07,36,P8,0
sub-07,36,P9,0
sub-07,36,P10,0
sub-07,37,P1,0
sub-07,37,P2,0
sub-07,37,P3,0
sub-07,37,P4,0
sub-07,37,P5,0
sub-07,37,P6,0
sub-07,37,P7,0
sub-07,37,P8,1
sub-07,38,P1,0
sub-07,38,P2,0
sub-07,38,P3,0
sub-07,38,P4,0
sub-07,38,P5,0
sub-07,38,P6,0
sub-07,38,P7,0
sub-07,38,P8,0
sub-07,38,P9,0
sub-07,38,P10,0
sub-07,39,P1,0
sub-07,39,P2,0
sub-07,39,P3,0
sub-07,39,P4,0
sub-07,39,P5,0
sub-07,39,P6,0
sub-07,39,P7,2
sub-07,39,P8,0
sub-07,39,P9,0
sub-07,40,P1,0
sub-07,40,P2,0
sub-07,40,P3,0
sub-07,40,P4,0
sub-07,40,P5,0
sub-07,40,P6,0
sub-07,40,P7,0
sub-07,40,P8,0
sub-07,40,P9,0
sub-07,40,P10,0
sub-07,40,P11,0
sub-07,40,P12,0
sub-07,45,P1,0
sub-07,45,P2,0
sub-07,45,P3,0
sub-07,45,P4,0
