events,transcript
1,
2,The show begins with a dream from scenes from Afghanastan and solders shouting
3,and then  Dr John Watson awakes in his room distressed.  He is an Iraq war veteran shot in the leg
4,and it is clear that he is haunted by  his dreams from Afghanastan and it seems like he is living out his days in  the same routine.   An empty life as he adjusts to  civilian life
5,"we see him talking to his therapist   she suggests he write a blog of his experience. He replies nothing happens to him,  so his life is pretty uneventful"
6,
7,"at the same time we see some scenes a woman in an office building talking on the cell phone to a guy walking through a train station, well dressed.  Talking about taking a cab to meet  her   She says she loves him and he said he will be there soon."
8,But the next scene is   an abandoned office building on an empty floor  after taking some pills and he ends up confusing before dying.
9,"There is a press conference with his wife , who is  a different woman,  she talks about his life.  Then  we see the women who was talking with him on the phone.  So it  seems like there was an affair."
10,Then we see two young men  walking home  trying to catch a cab.  One says he is going back to his house to get something quickly.
11,The one who left is at a train station on a bridge. He is looking very distressed. He is opening a vial or container with the same type of pills and he ends up taking one. So he ends up as an alleged suicide as well.
12,
13,"So then later, at some point in the show, there is a press conference with the Police Chief.  The press is asking about the deaths.  The chief says they are suicides but feels that they are some how connected.  Everyone receives a text that says wrong.  The police chief goes on to talk about the deaths."
14,Then we catch up with John Watson who is in the park talking with a friend that he is looking for a flat.  The friend says that he is the second person who asked him that today.  So through  that Watson  meets Sherlock Holmes.
15,"The first time we see him he is in a morgue or crime lab.  He is talking to a lab technician who  has a crush on him and he doesn't pick up on her cues.    But he has unorthodox methods, he starts beating the body.  So maybe he is trying to recreate physical trauma from a crime. So clearly he is very unorthodox."
16,"When he is in the lab Watson walks in with his friend.  They have a short conversation.   Sherlock  kind of assumes he will be his flat mate and roommate .   Watson says ,  they don't know each other.  But then Sherlock rattles off some things he deduces from meeting him.    Without explanation he knows he is a military   doctor, and his limp is psycho sematic and senses tough family relations between Watson and his brother."
17,
18,Before the show we see the same pills in a container  on the floor and saw a woman's hand reaching down for them but we did not see the woman.    We had some advanced warning of this additional death.
19,"Later we see Watson arriving at the flat that he and Watson are going to share,  They go upstairs and it is pretty messy, Sherlock has taken over the flat with all of his stuff--lab equipment, folders, skull on the mantel. He is a pretty quirky guy."
20,
21,
22,He sees the police car outside and realizes there has been another murder.   The police chief arrive and asks him to come and check it out.
23,
24,Sherlock says he wants an assistant but seems very excited about it.    He ends up taking Watson with him.  Watson goes from dull life to getting on to the crime.
25,"They end up in a taxi to the crime scene.   Watson asks  him how he deduced so many things about his life.   Sherlock mentions about his tan, the way he limbs and when Watson handed him the cell phone he noticed an engraving on the back of the phone.  And the phone was a gift.  The family member ended the spouse and the phone was a gift from the family member."
26,"He also surmised the family member was a alcoholic because there  was scratch around the charging port  which when you are drunk can happen. Because they are clumsier.  The relationships between Watson and his family member was very strained.  Watson was impressed.  Sherlock gets wrong the sibling , the name harry on the back of the phone was actually for Harriet.    So it was his lesbian sister that had broken up with her partner."
